['731', '387', '904', '172', '802', '862', '894', '621', '335', '8', '408', '192', '635', '586', '371', '962', '156', '103', '382', '663', '723', '6', '725', '534', '976', '81', '258', '277', '21', '590', '63', '858', '145', '595', '106', '167', '781', '782', '160', '41', '807', '537', '634', '370', '359', '438', '132', '724', '640']
['968', '641', '205', '212', '857', '90', '108', '262', '516', '180', '487', '662', '508', '978', '202', '771', '227', '794', '204', '749', '298', '852', '329', '107', '888', '60', '495', '230', '876', '64', '3', '957', '290', '319', '126', '306', '902', '752', '115', '304', '468', '201', '323', '189', '560', '727', '61', '109', '700']
['555', '42', '726', '233', '469', '214', '364', '372', '376', '427', '361', '428', '114', '850', '832', '562', '923', '396', '675', '704', '618', '619', '322', '480', '712', '872', '854', '77', '177', '979', '820', '740', '340', '623', '207', '625', '796', '535', '814', '512', '871', '311', '213', '915', '559', '870', '766', '401', '394']
['269', '715', '526', '489', '58', '805', '626', '823', '783', '356', '199', '87', '598', '88', '409', '698', '23', '289', '974', '37', '111', '818', '680', '548', '403', '391', '893', '51', '908', '970', '303', '75', '420', '237', '53', '384', '963', '926', '353', '138', '885', '592', '454', '267', '301', '673', '789', '31', '809']
['456', '604', '13', '803', '279', '613', '300', '545', '696', '790', '688', '341', '360', '12', '896', '891', '525', '610', '99', '473', '86', '952', '722', '421', '965', '446', '648', '367', '423', '328', '484', '52', '127', '94', '775', '453', '74', '35', '572', '363', '170', '713', '949', '736', '38', '327', '405', '844', '951']
['932', '268', '472', '299', '211', '916', '291', '48', '717', '938', '656', '707', '930', '253', '763', '617', '937', '135', '742', '538', '961', '884', '97', '941', '344', '249', '801', '105', '765', '67', '942', '738', '245', '659', '240', '498', '346', '226', '950', '573', '582', '482', '188', '36', '777', '69', '102', '228', '83']
['503', '285', '665', '293', '27', '710', '210', '355', '636', '422', '650', '133', '628', '217', '501', '72', '905', '664', '897', '96', '678', '437', '606', '259', '336', '547', '310', '542', '692', '65', '528', '869', '597', '366', '523', '32', '467', '220', '496', '447', '602', '404', '798', '320', '931', '583', '62', '846', '492']
['847', '825', '80', '751', '197', '440', '741', '683', '778', '824', '615', '497', '339', '257', '755', '305', '176', '191', '914', '792', '633', '909', '913', '184', '373', '643', '82', '162', '377', '695', '122', '365', '940', '178', '198', '532', '839', '552', '182', '875', '272', '30', '935', '130', '1', '264', '431', '393', '644']
['718', '17', '729', '511', '895', '810', '609', '296', '463', '169', '567', '232', '577', '748', '958', '600', '16', '241', '518', '100', '18', '161', '66', '54', '493', '196', '276', '967', '252', '357', '927', '316', '334', '374', '242', '964', '859', '758', '187', '390', '317', '705', '530', '255', '849', '179', '827', '389', '575']
['834', '324', '632', '785', '697', '244', '158', '882', '91', '295', '55', '33', '426', '142', '93', '200', '513', '481', '112', '569', '185', '529', '470', '788', '445', '603', '719', '774', '920', '85', '399', '159', '607', '669', '835', '297', '25', '504', '851', '141', '208', '611', '506', '478', '779', '247', '57', '349', '841']
['754', '314', '955', '29', '714', '556', '206', '10', '817', '413', '815', '209', '701', '883', '845', '56', '330', '0', '616', '104', '685', '39', '922', '956', '866', '347', '837', '385', '466', '624', '682', '889', '416', '270', '584', '7', '892', '921', '605', '406', '155', '412', '608', '47', '732', '747', '400', '483', '588']
['236', '660', '124', '243', '925', '68', '309', '969', '475', '831', '186', '878', '123', '553', '944', '263', '266', '183', '354', '946', '131', '313', '425', '557', '287', '639', '799', '519', '811', '352', '19', '286', '856', '589', '224', '333', '395', '424', '216', '691', '649', '166', '549', '502', '806', '655', '934', '443', '887']
['225', '195', '248', '464', '362', '861', '744', '499', '168', '44', '879', '539', '265', '275', '574', '89', '881', '5', '638', '769', '735', '280', '250', '294', '338', '448', '709', '646', '750', '461', '848', '486', '128', '977', '95', '59', '627', '45', '959', '332', '137', '864', '381', '34', '342', '434', '652', '419', '637']
['517', '392', '515', '471', '787', '148', '855', '743', '576', '674', '383', '594', '50', '71', '485', '231', '527', '402', '273', '564', '826', '578', '702', '728', '840', '829', '215', '28', '369', '116', '907', '151', '173', '936', '645', '768', '579', '218', '928', '770', '898', '773', '654', '668', '739', '429', '149', '868', '808']
['917', '733', '571', '734', '580', '972', '524', '853', '153', '830', '612', '459', '753', '890', '378', '165', '432', '918', '450', '92', '661', '899', '181', '203', '910', '119', '867', '541', '136', '144', '26', '651', '121', '2', '919', '585', '828', '120', '78', '164', '4', '150', '98', '73', '375', '780', '458', '14', '906']
['836', '415', '943', '460', '22', '550', '380', '500', '494', '653', '540', '246', '282', '414', '514', '477', '689', '125', '452', '953', '318', '708', '812', '860', '490', '863', '596', '439', '795', '797', '737', '386', '693', '816', '24', '441', '193', '194', '581', '479', '565', '118', '436', '358', '43', '563', '822', '746', '70']
['147', '397', '676', '444', '804', '462', '793', '657', '350', '975', '721', '251', '886', '686', '239', '687', '221', '143', '271', '838', '49', '11', '531', '874', '658', '260', '677', '435', '543', '759', '843', '398', '163', '113', '281', '546', '308', '924', '877', '379', '954', '465', '520', '966', '642', '973', '629', '786', '507']
['388', '699', '760', '587', '154', '79', '140', '146', '911', '568', '865', '745', '566', '9', '442', '873', '558', '684', '670', '190', '716', '720', '337', '407', '971', '690', '101', '229', '476', '762', '880', '256', '417', '321', '756', '348', '325', '326', '152', '929', '491', '283', '134', '238', '939', '821', '455', '343', '331']
['302', '948', '457', '761', '800', '776', '430', '679', '730', '117', '110', '129', '509', '410', '570', '945', '345', '261', '671', '672', '488', '235', '40', '312', '631', '599', '667', '622', '536', '449', '315', '510', '666', '521', '254', '703', '791', '767', '764', '274', '772', '554', '84', '681', '833', '960', '278', '813', '912']
['139', '522', '307', '647', '505', '20', '551', '544', '711', '757', '533', '901', '903', '223', '411', '591', '451', '819', '174', '433', '222', '418', '234', '784', '284', '292', '175', '614', '46', '561', '219', '706', '157', '630', '171', '593', '351', '842', '368', '620', '947', '694', '474', '76', '15', '933', '601', '900', '288']
