['179', '167', '180', '130', '187', '335']
['401', '663', '70', '681', '256', '31']
['490', '74', '496', '579', '603', '560']
['471', '62', '406', '258', '525', '255']
['267', '331', '623', '26', '278', '230']
['546', '21', '151', '36', '527', '211']
['536', '664', '95', '170', '285', '618']
['519', '659', '219', '565', '648', '687']
['248', '439', '356', '355', '476', '697']
['114', '129', '351', '44', '550', '50']
['362', '387', '717', '353', '573', '7']
['679', '20', '556', '222', '516', '225']
['41', '554', '495', '163', '444', '392']
['57', '301', '350', '176', '281', '146']
['109', '112', '96', '427', '306', '10']
['466', '66', '80', '111', '372', '436']
['100', '379', '280', '223', '68', '695']
['616', '202', '48', '269', '482', '544']
['305', '139', '714', '552', '711', '680']
['24', '329', '562', '625', '640', '443']
['310', '245', '503', '357', '61', '284']
['279', '404', '435', '437', '289', '340']
['713', '534', '193', '8', '257', '53']
['511', '148', '518', '29', '508', '140']
['480', '522', '589', '671', '361', '709']
['138', '141', '183', '477', '46', '291']
['307', '577', '643', '452', '38', '376']
['399', '198', '543', '549', '457', '463']
['653', '25', '428', '177', '276', '75']
['532', '366', '542', '136', '674', '294']
['371', '719', '210', '647', '688', '188']
['205', '416', '246', '293', '238', '650']
['311', '492', '683', '39', '494', '474']
['467', '71', '181', '521', '637', '481']
['641', '523', '531', '375', '47', '268']
['363', '93', '567', '389', '368', '526']
['592', '624', '364', '378', '67', '370']
['635', '574', '593', '418', '98', '321']
['606', '11', '234', '410', '412', '712']
['197', '620', '28', '196', '282', '189']
['295', '33', '299', '147', '419', '22']
['30', '34', '160', '535', '415', '460']
['240', '165', '274', '506', '660', '84']
['553', '636', '337', '486', '432', '707']
['619', '55', '6', '453', '116', '149']
['665', '438', '131', '669', '115', '397']
['137', '249', '425', '651', '154', '164']
['498', '400', '192', '590', '587', '83']
['200', '229', '297', '346', '693', '127']
['539', '607', '699', '52', '434', '217']
['698', '661', '413', '338', '705', '60']
['296', '652', '405', '384', '106', '622']
['153', '580', '576', '475', '409', '464']
['313', '206', '265', '605', '411', '243']
['150', '601', '347', '324', '540', '691']
['469', '343', '633', '602', '380', '236']
['207', '162', '396', '18', '113', '42']
['342', '513', '69', '485', '208', '649']
['538', '461', '72', '322', '421', '390']
['373', '244', '186', '383', '78', '247']
['639', '417', '407', '133', '507', '349']
['315', '433', '374', '545', '582', '175']
['489', '125', '537', '690', '615', '161']
['199', '365', '685', '459', '104', '667']
['261', '628', '676', '479', '12', '393']
['273', '327', '670', '326', '450', '79']
['395', '575', '455', '97', '470', '194']
['174', '512', '566', '504', '89', '316']
['5', '645', '426', '73', '339', '630']
['408', '302', '591', '702', '634', '325']
['420', '35', '578', '500', '569', '178']
['599', '517', '56', '143', '159', '191']
['32', '529', '271', '120', '703', '308']
['682', '672', '226', '14', '686', '684']
['454', '318', '221', '303', '458', '430']
['394', '145', '447', '214', '352', '657']
['90', '228', '701', '441', '152', '604']
['588', '213', '275', '595', '241', '423']
['348', '277', '76', '158', '216', '341']
['429', '354', '402', '330', '63', '27']
['270', '103', '456', '309', '608', '646']
['59', '520', '286', '81', '594', '673']
['718', '497', '613', '502', '290', '533']
['414', '201', '445', '431', '108', '51']
['597', '462', '570', '451', '568', '237']
['91', '264', '253', '135', '99', '689']
['155', '82', '716', '227', '528', '336']
['386', '465', '692', '571', '298', '334']
['1', '312', '288', '37', '563', '493']
['627', '484', '156', '23', '171', '694']
['124', '524', '675', '92', '218', '509']
['472', '696', '85', '612', '382', '263']
['403', '224', '250', '333', '65', '2']
['266', '86', '629', '134', '233', '292']
['45', '204', '344', '122', '561', '715']
['706', '304', '17', '190', '209', '654']
['252', '169', '422', '548', '107', '442']
['319', '128', '478', '656', '642', '583']
['283', '77', '610', '655', '182', '708']
['49', '632', '173', '262', '658', '617']
['119', '581', '551', '314', '43', '626']
['700', '710', '232', '242', '668', '547']
['54', '101', '499', '94', '483', '320']
['328', '398', '367', '704', '448', '468']
['251', '13', '195', '586', '488', '9']
['0', '88', '677', '203', '388', '491']
['172', '666', '559', '260', '446', '185']
['287', '391', '254', '501', '424', '662']
['473', '358', '118', '212', '157', '515']
['611', '440', '105', '323', '123', '678']
['631', '558', '369', '614', '40', '644']
['64', '572', '510', '530', '16', '585']
['132', '598', '220', '505', '19', '235']
['168', '126', '584', '4', '345', '596']
['557', '215', '121', '638', '377', '359']
['272', '259', '385', '564', '609', '555']
['514', '58', '487', '142', '360', '541']
['102', '15', '110', '239', '621', '231']
['117', '381', '166', '449', '332', '144']
['87', '317', '184', '300', '3', '600']
