['830', '436', '154', '39', '560', '387', '212', '120', '357', '817', '710', '434', '300', '458', '809', '464', '122', '411', '324', '68', '417', '222', '776', '107', '87', '200', '292', '133', '594', '147', '512', '360', '341', '80', '470']
['504', '766', '296', '613', '305', '763', '564', '224', '535', '700', '386', '442', '497', '307', '17', '712', '246', '570', '432', '359', '456', '65', '134', '377', '113', '446', '491', '802', '79', '495', '629', '654', '161', '225', '437']
['98', '698', '26', '31', '253', '556', '527', '850', '325', '308', '429', '99', '789', '769', '264', '13', '768', '83', '58', '451', '480', '787', '427', '587', '6', '596', '190', '139', '622', '208', '173', '311', '734', '820', '367']
['135', '502', '781', '691', '739', '849', '648', '770', '703', '177', '91', '590', '103', '165', '475', '608', '380', '166', '72', '280', '681', '658', '575', '317', '676', '138', '371', '145', '61', '53', '126', '792', '515', '800', '70']
['542', '664', '684', '185', '610', '749', '406', '248', '709', '20', '369', '845', '9', '848', '34', '677', '674', '732', '276', '400', '340', '714', '729', '346', '833', '415', '78', '318', '636', '463', '265', '424', '716', '673', '16']
['51', '303', '110', '275', '765', '628', '334', '25', '612', '19', '604', '319', '595', '715', '759', '584', '401', '547', '620', '539', '740', '577', '96', '32', '663', '494', '392', '12', '785', '720', '772', '741', '675', '167', '784']
['679', '440', '635', '641', '232', '263', '197', '738', '637', '804', '644', '333', '306', '8', '157', '692', '409', '466', '510', '602', '288', '345', '797', '159', '207', '459', '191', '49', '455', '693', '184', '529', '160', '831', '381']
['192', '198', '854', '368', '731', '609', '471', '479', '162', '229', '545', '378', '335', '172', '589', '816', '295', '168', '851', '216', '204', '649', '662', '128', '29', '690', '235', '343', '379', '140', '102', '751', '632', '814', '498']
['806', '496', '680', '104', '795', '430', '507', '521', '132', '796', '702', '294', '572', '524', '146', '240', '255', '393', '95', '643', '331', '511', '321', '395', '829', '746', '771', '457', '47', '811', '540', '592', '450', '382', '562']
['336', '50', '757', '786', '843', '114', '277', '214', '559', '66', '426', '40', '853', '202', '27', '375', '413', '659', '414', '59', '245', '419', '793', '407', '745', '753', '299', '75', '408', '822', '22', '484', '342', '236', '354']
['131', '670', '231', '338', '5', '727', '617', '349', '526', '388', '270', '384', '186', '821', '631', '525', '597', '234', '52', '179', '412', '129', '101', '571', '706', '268', '605', '46', '237', '569', '583', '506', '93', '278', '748']
['187', '726', '416', '621', '724', '846', '64', '779', '747', '489', '3', '461', '469', '699', '10', '71', '666', '152', '217', '718', '705', '238', '7', '509', '90', '762', '534', '174', '219', '290', '55', '538', '711', '615', '364']
['473', '372', '791', '468', '647', '151', '94', '118', '614', '226', '281', '660', '844', '169', '501', '557', '719', '591', '580', '289', '503', '431', '852', '618', '67', '855', '588', '633', '565', '650', '23', '286', '2', '14', '257']
['56', '441', '85', '182', '383', '561', '568', '701', '390', '803', '267', '164', '645', '453', '825', '183', '678', '405', '490', '155', '624', '42', '443', '221', '88', '304', '601', '11', '754', '516', '634', '428', '482', '487', '551']
['522', '439', '194', '385', '73', '626', '773', '585', '619', '823', '744', '220', '28', '315', '125', '48', '630', '835', '293', '374', '523', '283', '362', '704', '638', '213', '250', '242', '353', '170', '109', '272', '266', '764', '642']
['736', '530', '477', '788', '370', '478', '249', '396', '646', '492', '199', '223', '533', '410', '258', '262', '826', '722', '651', '243', '531', '89', '508', '215', '686', '373', '579', '438', '218', '136', '365', '76', '728', '30', '193']
['500', '163', '130', '41', '274', '625', '123', '671', '655', '558', '206', '582', '188', '665', '541', '0', '329', '599', '445', '121', '127', '586', '828', '801', '839', '45', '92', '297', '358', '112', '687', '603', '77', '397', '743']
['798', '783', '350', '818', '694', '616', '449', '488', '695', '574', '124', '780', '639', '309', '532', '505', '536', '117', '316', '578', '465', '708', '782', '444', '363', '761', '627', '142', '483', '181', '733', '554', '573', '153', '376']
['767', '485', '323', '513', '546', '713', '452', '607', '284', '361', '435', '21', '43', '261', '549', '252', '60', '837', '241', '15', '344', '175', '812', '228', '423', '18', '137', '518', '567', '778', '74', '108', '230', '106', '815']
['707', '593', '251', '203', '448', '685', '63', '356', '777', '552', '402', '176', '273', '827', '425', '149', '351', '337', '355', '69', '689', '282', '775', '696', '328', '735', '543', '332', '105', '847', '227', '832', '661', '205', '171']
['840', '756', '287', '86', '519', '420', '422', '57', '399', '310', '301', '611', '454', '327', '421', '723', '721', '555', '697', '320', '653', '141', '260', '269', '209', '742', '799', '760', '244', '447', '398', '239', '520', '810', '550']
['38', '44', '33', '116', '481', '211', '730', '291', '404', '598', '669', '347', '548', '348', '486', '196', '750', '189', '462', '528', '256', '271', '394', '115', '36', '807', '688', '81', '808', '180', '201', '755', '752', '656', '366']
['517', '836', '576', '100', '254', '514', '403', '285', '279', '737', '259', '824', '842', '195', '298', '563', '148', '623', '672', '476', '794', '472', '544', '144', '467', '600', '717', '389', '391', '581', '37', '62', '210', '233', '247']
['326', '805', '352', '834', '682', '97', '54', '302', '683', '339', '143', '606', '313', '82', '813', '150', '566', '111', '460', '758', '84', '35', '156', '640', '841', '657', '838', '667', '652', '553', '1', '418', '433', '499', '668']
['119', '4', '330', '790', '493', '322', '819', '725', '158', '537', '24', '774', '314', '178', '312', '474']
