['260', '843', '150', '459', '370', '154', '286', '685', '187', '827', '777', '481', '139', '944', '720', '167', '225', '16', '868', '639', '883', '15', '965', '44', '517']
['43', '764', '895', '298', '109', '813', '334', '30', '873', '61', '276', '938', '560', '64', '657', '903', '774', '332', '607', '579', '12', '369', '450', '175', '168']
['636', '605', '727', '55', '650', '915', '518', '790', '273', '439', '904', '600', '805', '835', '159', '495', '209', '520', '412', '178', '235', '193', '892', '270', '852']
['957', '135', '202', '538', '186', '195', '964', '532', '910', '644', '345', '477', '557', '288', '547', '830', '779', '49', '170', '571', '107', '463', '472', '331', '199']
['672', '57', '515', '746', '887', '709', '468', '619', '569', '374', '838', '620', '280', '509', '336', '163', '655', '608', '565', '406', '677', '249', '580', '586', '796']
['848', '676', '990', '684', '94', '815', '946', '301', '177', '115', '146', '441', '625', '675', '686', '744', '966', '183', '613', '851', '996', '85', '529', '77', '899']
['428', '230', '906', '604', '929', '921', '337', '765', '106', '845', '540', '659', '372', '911', '928', '714', '691', '976', '615', '426', '442', '922', '89', '357', '289']
['114', '87', '501', '173', '138', '539', '103', '191', '300', '425', '984', '693', '56', '504', '919', '610', '45', '13', '58', '153', '703', '311', '826', '997', '97']
['823', '797', '794', '108', '133', '444', '738', '53', '233', '646', '722', '930', '718', '896', '955', '282', '344', '243', '310', '534', '182', '724', '96', '761', '768']
['854', '493', '817', '161', '232', '390', '780', '35', '400', '583', '486', '943', '994', '687', '22', '839', '874', '680', '203', '363', '376', '248', '189', '453', '68']
['321', '471', '421', '978', '595', '162', '293', '228', '747', '82', '507', '710', '701', '47', '456', '689', '574', '297', '541', '410', '454', '258', '66', '88', '941']
['537', '741', '52', '748', '510', '489', '867', '666', '717', '784', '640', '226', '751', '275', '924', '90', '681', '214', '759', '707', '78', '901', '516', '330', '169']
['972', '485', '705', '694', '429', '522', '909', '81', '268', '346', '130', '981', '948', '860', '617', '656', '849', '967', '713', '898', '792', '322', '148', '104', '953']
['842', '628', '699', '379', '559', '987', '237', '611', '891', '952', '305', '166', '488', '3', '381', '484', '626', '844', '76', '137', '593', '812', '352', '196', '8']
['643', '630', '961', '294', '296', '992', '769', '73', '983', '881', '662', '388', '651', '39', '674', '755', '83', '591', '544', '715', '250', '756', '524', '264', '350']
['99', '798', '222', '158', '663', '773', '622', '732', '743', '598', '60', '962', '373', '954', '864', '365', '807', '781', '513', '205', '562', '618', '323', '34', '132']
['451', '599', '317', '573', '423', '128', '913', '113', '255', '483', '462', '975', '265', '194', '678', '491', '494', '460', '836', '145', '223', '660', '554', '2', '398']
['762', '787', '878', '142', '479', '649', '0', '247', '208', '18', '470', '396', '698', '134', '635', '38', '609', '793', '7', '525', '740', '949', '497', '244', '553']
['616', '231', '863', '418', '958', '545', '668', '803', '201', '514', '969', '17', '420', '355', '351', '971', '256', '690', '977', '841', '91', '354', '923', '998', '575']
