['544', '230', '464', '190', '217', '719', '333', '354', '38', '522', '276', '620', '404', '149', '705', '59', '243', '628', '714', '62', '648', '661', '239', '489', '140', '107', '73', '171', '75', '263', '542', '376', '24', '262', '204', '252', '444', '673', '451', '702']
['625', '141', '488', '412', '120', '30', '90', '619', '735', '571', '419', '397', '352', '72', '335', '200', '312', '530', '674', '517', '44', '82', '100', '71', '736', '726', '265', '314', '114', '181', '245', '593', '131', '473', '505', '621', '671', '339', '527', '84']
['523', '626', '318', '285', '25', '521', '324', '326', '562', '445', '520', '535', '350', '225', '221', '185', '192', '277', '26', '211', '14', '642', '574', '555', '369', '275', '703', '600', '712', '279', '322', '461', '99', '343', '348', '364', '417', '133', '135', '692']
['598', '711', '622', '396', '291', '367', '246', '186', '271', '79', '580', '355', '5', '16', '40', '378', '696', '132', '4', '526', '113', '176', '713', '302', '156', '731', '655', '497', '570', '733', '331', '665', '167', '677', '234', '583', '700', '309', '627', '232']
['663', '681', '604', '35', '22', '481', '191', '679', '336', '613', '715', '205', '662', '499', '8', '609', '510', '443', '320', '634', '297', '606', '98', '577', '418', '739', '237', '579', '366', '462', '386', '368', '268', '148', '432', '95', '596', '295', '325', '174']
['388', '501', '134', '189', '709', '669', '405', '424', '41', '395', '9', '226', '128', '433', '303', '125', '199', '345', '241', '640', '533', '139', '509', '32', '426', '124', '188', '411', '463', '607', '421', '385', '194', '676', '668', '414', '375', '130', '569', '56']
['377', '15', '340', '425', '313', '486', '85', '529', '401', '657', '216', '327', '540', '294', '491', '704', '152', '154', '213', '431', '109', '88', '118', '551', '457', '215', '274', '448', '231', '173', '196', '45', '567', '158', '554', '272', '455', '329', '629', '588']
['153', '518', '203', '552', '478', '346', '727', '576', '672', '660', '413', '516', '21', '558', '273', '402', '373', '585', '251', '638', '476', '624', '391', '608', '595', '399', '586', '492', '332', '63', '157', '725', '361', '89', '428', '179', '163', '548', '287', '166']
['55', '341', '503', '93', '472', '264', '278', '541', '27', '547', '126', '623', '18', '636', '721', '587', '253', '631', '635', '584', '465', '459', '187', '524', '206', '614', '238', '573', '155', '170', '209', '91', '183', '508', '330', '643', '374', '591', '138', '292']
['58', '408', '470', '36', '65', '115', '315', '201', '372', '664', '50', '564', '658', '240', '689', '123', '169', '652', '3', '435', '337', '49', '513', '110', '718', '197', '182', '500', '356', '728', '686', '69', '102', '353', '80', '328', '249', '33', '422', '525']
['146', '717', '108', '592', '684', '441', '311', '129', '556', '695', '514', '150', '308', '281', '54', '244', '160', '254', '97', '168', '280', '439', '60', '651', '724', '210', '136', '61', '690', '447', '632', '250', '37', '568', '563', '101', '10', '317', '467', '589']
['670', '212', '111', '164', '342', '515', '81', '347', '440', '616', '649', '172', '236', '7', '597', '29', '256', '729', '57', '255', '112', '406', '147', '106', '193', '202', '208', '615', '31', '290', '666', '611', '429', '498', '52', '306', '267', '469', '716', '691']
['371', '319', '496', '409', '270', '698', '288', '184', '384', '13', '410', '390', '659', '117', '53', '484', '66', '143', '334', '323', '732', '42', '538', '630', '543', '697', '12', '76', '612', '637', '266', '483', '423', '644', '242', '403', '161', '561', '734', '392']
['436', '94', '683', '2', '296', '528', '96', '359', '228', '485', '248', '357', '618', '559', '227', '235', '456', '680', '105', '338', '229', '360', '534', '653', '77', '6', '610', '175', '531', '195', '104', '667', '70', '145', '605', '260', '471', '685', '1', '437']
['305', '86', '687', '475', '301', '257', '656', '127', '707', '706', '362', '494', '48', '358', '400', '550', '103', '398', '474', '468', '224', '286', '218', '693', '11', '482', '222', '511', '458', '261', '407', '477', '722', '566', '23', '650', '349', '304', '43', '594']
['549', '165', '34', '258', '220', '116', '546', '738', '207', '699', '159', '646', '647', '214', '380', '382', '434', '344', '178', '453', '701', '219', '46', '416', '151', '365', '480', '321', '536', '28', '506', '389', '682', '381', '316', '180', '351', '299', '137', '601']
['289', '617', '578', '67', '68', '92', '19', '162', '537', '708', '393', '51', '545', '452', '282', '572', '284', '379', '737', '442', '446', '259', '363', '539', '565', '639', '560', '74', '590', '298', '122', '233', '490', '730', '532', '87', '283', '678', '64', '307']
['39', '641', '142', '675', '300', '487', '479', '495', '654', '269', '0', '427', '512', '223', '710', '78', '247', '20', '507', '450', '310', '553', '602', '688', '394', '454', '387', '694', '502', '720', '420', '198', '582', '177', '603', '449', '383', '430', '144', '121']
['466', '633', '293', '438', '370', '504', '645', '47', '460', '557', '723', '415', '83', '17', '599', '119', '519', '493', '581', '575']
