['150', '586', '50', '333', '506', '903', '626', '479', '801', '30', '669', '637', '85', '465', '406', '362', '433', '425', '206', '301', '126', '726', '923', '692', '6', '544', '686', '646', '885', '177', '758']
['210', '834', '197', '940', '526', '902', '114', '429', '799', '703', '252', '20', '891', '471', '566', '286', '457', '363', '693', '827', '307', '221', '658', '497', '187', '908', '881', '260', '176', '729', '576']
['623', '882', '897', '619', '779', '373', '95', '753', '591', '716', '956', '196', '4', '332', '814', '395', '330', '79', '666', '474', '281', '463', '452', '386', '299', '355', '375', '580', '390', '530', '718']
['350', '764', '643', '27', '518', '65', '105', '98', '135', '928', '861', '149', '613', '268', '670', '839', '222', '88', '106', '528', '910', '717', '61', '201', '847', '309', '709', '331', '581', '585', '887']
['926', '96', '899', '713', '1', '743', '7', '178', '394', '571', '0', '315', '508', '550', '208', '464', '685', '505', '460', '156', '481', '769', '607', '109', '396', '265', '408', '883', '632', '385', '122']
['645', '278', '488', '542', '428', '811', '763', '890', '5', '339', '911', '291', '766', '583', '224', '293', '888', '475', '69', '952', '495', '472', '87', '270', '413', '476', '486', '575', '143', '436', '229']
['675', '329', '605', '841', '123', '714', '959', '167', '615', '510', '159', '380', '139', '365', '378', '253', '280', '311', '662', '573', '215', '39', '186', '617', '18', '351', '513', '939', '738', '880', '559']
['618', '545', '446', '180', '751', '353', '519', '754', '384', '886', '154', '382', '793', '894', '572', '760', '813', '870', '487', '592', '577', '423', '364', '745', '345', '708', '489', '733', '529', '624', '144']
['590', '296', '932', '741', '672', '770', '28', '219', '865', '112', '554', '103', '76', '410', '264', '162', '737', '946', '354', '657', '900', '750', '118', '183', '336', '785', '424', '725', '170', '594', '276']
['825', '682', '696', '780', '447', '193', '929', '788', '735', '608', '16', '220', '157', '798', '235', '927', '89', '398', '755', '225', '212', '789', '610', '863', '314', '371', '515', '59', '663', '102', '294']
['190', '449', '712', '75', '538', '765', '654', '338', '269', '934', '872', '792', '100', '757', '274', '535', '275', '288', '2', '522', '416', '876', '843', '556', '377', '768', '818', '136', '677', '691', '579']
['366', '901', '774', '665', '434', '405', '349', '838', '392', '925', '283', '642', '853', '803', '101', '282', '430', '147', '734', '400', '342', '849', '130', '877', '837', '125', '954', '858', '698', '12', '328']
['129', '164', '620', '285', '909', '616', '22', '63', '921', '227', '732', '381', '461', '650', '747', '113', '133', '127', '117', '937', '266', '739', '347', '498', '648', '512', '72', '443', '816', '55', '949']
['699', '175', '439', '812', '859', '938', '884', '656', '431', '611', '242', '352', '875', '761', '676', '933', '748', '77', '393', '91', '142', '598', '490', '496', '82', '516', '514', '896', '231', '507', '9']
['68', '279', '99', '679', '300', '171', '606', '951', '356', '399', '340', '775', '128', '856', '53', '153', '387', '720', '137', '502', '930', '310', '511', '414', '705', '11', '62', '17', '784', '491', '715']
['161', '731', '810', '778', '817', '848', '97', '844', '411', '869', '649', '546', '855', '482', '421', '846', '148', '305', '453', '246', '639', '638', '561', '667', '898', '90', '458', '256', '420', '752', '251']
['456', '84', '216', '267', '207', '151', '821', '234', '767', '344', '334', '661', '660', '809', '695', '540', '388', '209', '179', '578', '722', '29', '214', '323', '211', '111', '237', '403', '602', '376', '771']
['277', '644', '289', '587', '807', '706', '532', '517', '94', '379', '560', '58', '248', '290', '842', '369', '454', '477', '38', '36', '782', '174', '172', '727', '584', '317', '230', '957', '614', '199', '947']
['80', '445', '905', '432', '49', '140', '958', '47', '444', '451', '728', '936', '46', '455', '383', '742', '483', '182', '21', '173', '312', '600', '92', '857', '184', '115', '655', '783', '629', '320', '473']
['469', '3', '450', '239', '808', '83', '74', '688', '536', '492', '864', '217', '674', '240', '589', '407', '367', '711', '852', '687', '601', '23', '724', '37', '557', '509', '653', '919', '874', '104', '651']
['33', '158', '308', '374', '804', '480', '815', '627', '828', '819', '702', '192', '918', '188', '422', '892', '634', '198', '879', '78', '93', '166', '736', '700', '787', '218', '931', '922', '525', '152', '145']
['321', '255', '313', '603', '368', '292', '203', '417', '746', '169', '574', '916', '357', '372', '836', '942', '562', '683', '325', '343', '48', '794', '871', '213', '889', '950', '701', '419', '297', '191', '548']
