['902', '336', '505']
['368', '224', '439']
['776', '386', '139']
['358', '531', '182']
['893', '843', '670']
['737', '497', '789']
['539', '454', '735']
['40', '542', '441']
['360', '253', '791']
['477', '825', '54']
['444', '381', '834']
['777', '668', '320']
['97', '985', '740']
['915', '996', '178']
['739', '829', '304']
['306', '734', '216']
['48', '768', '623']
['265', '863', '329']
['567', '147', '293']
['989', '968', '109']
['20', '545', '31']
['247', '66', '706']
['290', '479', '681']
['92', '121', '852']
['599', '713', '859']
['21', '712', '437']
['383', '491', '55']
['283', '921', '376']
['637', '462', '999']
['67', '482', '959']
['803', '666', '939']
['748', '480', '714']
['569', '537', '785']
['136', '626', '328']
['53', '884', '657']
['101', '628', '798']
['375', '30', '938']
['107', '36', '100']
['6', '752', '493']
['7', '325', '273']
['629', '321', '792']
['615', '472', '708']
['550', '225', '201']
['3', '783', '240']
['170', '85', '796']
['522', '912', '384']
['409', '69', '969']
['970', '943', '613']
['958', '254', '787']
['743', '169', '644']
['924', '640', '804']
['115', '205', '568']
['627', '288', '379']
['70', '993', '309']
['683', '120', '195']
['102', '256', '291']
['707', '830', '928']
['185', '239', '248']
['333', '745', '700']
['905', '168', '231']
['594', '445', '746']
['961', '588', '516']
['773', '988', '238']
['806', '173', '251']
['764', '860', '192']
['106', '243', '294']
['814', '484', '415']
['651', '675', '157']
['448', '397', '680']
['269', '172', '271']
['111', '241', '810']
['559', '554', '14']
['813', '438', '494']
['230', '186', '940']
['348', '365', '33']
['279', '59', '450']
['285', '757', '850']
['190', '990', '997']
['110', '693', '337']
['562', '648', '150']
['313', '349', '888']
['5', '838', '118']
['929', '566', '117']
['869', '223', '556']
['694', '855', '502']
['805', '163', '257']
['44', '821', '308']
['347', '128', '886']
['925', '71', '601']
['236', '606', '927']
['962', '833', '835']
['584', '83', '647']
['870', '880', '577']
['34', '453', '214']
['260', '802', '557']
['919', '297', '548']
['922', '289', '574']
['581', '848', '528']
['138', '544', '455']
['767', '23', '258']
['576', '413', '598']
['19', '543', '650']
['179', '465', '207']
['876', '642', '442']
['665', '246', '81']
['511', '530', '682']
['369', '831', '175']
['998', '408', '324']
['676', '458', '518']
['849', '839', '463']
['534', '276', '281']
['68', '944', '827']
['176', '942', '268']
['685', '159', '654']
['549', '187', '143']
['220', '302', '353']
['335', '695', '646']
['955', '600', '667']
['524', '561', '747']
['305', '509', '340']
['15', '913', '213']
['222', '79', '372']
['698', '759', '343']
['514', '75', '538']
['826', '501', '227']
['300', '404', '760']
['866', '512', '616']
['605', '585', '389']
['636', '80', '218']
['994', '270', '245']
['742', '130', '432']
['488', '689', '864']
['933', '823', '99']
['515', '22', '890']
['390', '124', '468']
['104', '645', '946']
['496', '868', '394']
['811', '440', '233']
['2', '671', '57']
['793', '403', '361']
['331', '891', '229']
['158', '904', '525']
['401', '582', '984']
['611', '563', '899']
['171', '341', '330']
['523', '4', '391']
['630', '346', '131']
['995', '151', '133']
['189', '395', '898']
['249', '499', '338']
['846', '355', '885']
['235', '738', '749']
['41', '255', '217']
['551', '427', '144']
