['89', '79', '104', '40', '695', '537', '545']
['491', '216', '283', '368', '599', '256', '185']
['536', '681', '154', '562', '243', '670', '113']
['37', '515', '441', '285', '613', '404', '649']
['436', '549', '179', '680', '367', '385', '232']
['13', '146', '442', '351', '345', '275', '485']
['521', '75', '665', '444', '262', '421', '687']
['86', '578', '173', '580', '115', '493', '530']
['522', '333', '507', '201', '91', '583', '636']
['360', '324', '274', '19', '119', '347', '271']
['292', '516', '84', '446', '266', '22', '502']
['413', '198', '361', '217', '620', '635', '655']
['42', '117', '88', '523', '357', '190', '34']
['140', '363', '682', '427', '94', '178', '348']
['653', '337', '322', '425', '259', '643', '24']
['265', '551', '33', '289', '644', '80', '419']
['208', '222', '499', '591', '478', '638', '679']
['667', '364', '253', '223', '648', '6', '344']
['0', '309', '71', '566', '144', '334', '128']
['657', '555', '314', '123', '585', '210', '298']
['606', '589', '668', '313', '340', '461', '11']
['2', '227', '688', '569', '423', '15', '17']
['528', '284', '126', '148', '143', '396', '142']
['602', '239', '62', '101', '311', '134', '481']
['197', '389', '457', '429', '212', '547', '550']
['32', '116', '225', '639', '691', '203', '356']
['609', '426', '161', '377', '295', '676', '633']
['496', '570', '191', '346', '486', '561', '320']
['102', '417', '149', '629', '261', '669', '608']
['617', '557', '49', '432', '150', '306', '596']
['619', '3', '632', '8', '349', '616', '137']
['455', '279', '365', '467', '278', '205', '106']
['387', '627', '533', '9', '611', '321', '228']
['288', '511', '27', '291', '57', '230', '473']
['307', '139', '226', '482', '641', '165', '200']
['224', '592', '28', '393', '110', '577', '451']
['168', '483', '603', '172', '697', '81', '402']
['251', '66', '588', '181', '495', '263', '675']
['235', '531', '366', '55', '353', '85', '74']
['350', '61', '163', '392', '369', '412', '646']
['388', '355', '195', '445', '270', '78', '184']
['386', '469', '25', '477', '418', '5', '406']
['673', '192', '559', '122', '248', '645', '400']
['54', '431', '176', '96', '568', '246', '513']
['268', '458', '58', '498', '371', '194', '409']
['475', '463', '112', '76', '615', '108', '46']
['187', '77', '254', '505', '621', '277', '10']
['488', '398', '98', '138', '293', '82', '597']
['308', '439', '56', '692', '159', '286', '20']
['529', '68', '63', '152', '567', '595', '30']
['109', '689', '21', '135', '121', '683', '252']
['51', '238', '565', '490', '564', '196', '229']
['652', '654', '12', '430', '384', '319', '147']
['556', '614', '428', '50', '535', '90', '631']
['696', '97', '294', '509', '199', '318', '554']
['438', '302', '401', '315', '450', '487', '476']
['281', '36', '497', '382', '626', '699', '247']
['574', '480', '678', '674', '474', '642', '287']
['514', '129', '221', '604', '437', '532', '503']
['397', '663', '249', '405', '690', '170', '372']
['218', '141', '330', '160', '618', '354', '7']
['362', '136', '472', '335', '303', '593', '659']
['331', '182', '26', '612', '656', '571', '326']
['14', '131', '166', '447', '637', '193', '174']
['660', '282', '189', '317', '489', '323', '213']
['124', '440', '517', '373', '167', '332', '59']
['520', '394', '44', '471', '672', '407', '64']
['579', '548', '53', '698', '35', '666', '370']
['390', '272', '563', '456', '133', '130', '694']
['83', '220', '605', '359', '16', '410', '164']
['500', '156', '501', '527', '23', '462', '264']
['65', '244', '662', '594', '45', '622', '236']
['241', '177', '650', '114', '671', '411', '448']
['358', '560', '524', '685', '543', '341', '87']
['280', '424', '534', '257', '202', '250', '378']
['73', '508', '601', '466', '299', '484', '342']
['260', '630', '18', '526', '158', '127', '39']
['628', '209', '41', '584', '242', '538', '408']
['494', '183', '541', '240', '558', '304', '157']
['329', '435', '92', '301', '255', '48', '312']
['686', '103', '519', '610', '661', '296', '544']
['540', '336', '586', '125', '162', '434', '572']
['297', '374', '512', '492', '43', '546', '420']
['38', '327', '664', '395', '171', '300', '640']
['542', '506', '443', '67', '449', '328', '4']
['518', '107', '233', '245', '29', '31', '651']
['375', '47', '552', '186', '316', '310', '219']
['214', '607', '453', '237', '305', '573', '188']
['634', '504', '380', '433', '403', '684', '454']
['1', '587', '207', '338', '273', '539', '525']
['72', '414', '60', '258', '234', '105', '623']
['452', '206', '460', '459', '693', '155', '399']
['468', '120', '383', '111', '180', '99', '647']
['575', '132', '93', '95', '269', '624', '52']
['598', '422', '231', '581', '169', '153', '600']
['118', '145', '100', '415', '379', '576', '175']
['464', '69', '267', '325', '211', '215', '553']
['479', '381', '465', '376', '510', '151', '391']
['204', '343', '339', '352', '276', '658', '582']
['590', '625', '677', '470', '70', '290', '416']
