['247', '226', '389', '467', '981', '815', '973', '431', '691', '255', '331', '359', '942', '735', '732', '607', '281', '112', '29', '774']
['649', '755', '205', '417', '471', '665', '176', '323', '492', '786', '404', '7', '917', '716', '299', '280', '161', '248', '715', '910']
['25', '465', '919', '599', '287', '202', '433', '436', '407', '409', '302', '846', '307', '110', '526', '83', '969', '27', '484', '558']
['140', '772', '166', '929', '796', '956', '651', '861', '274', '105', '442', '788', '730', '452', '761', '60', '6', '259', '40', '544']
['153', '775', '73', '245', '679', '724', '638', '874', '895', '318', '308', '722', '630', '39', '648', '523', '179', '631', '982', '201']
['336', '463', '660', '948', '785', '315', '790', '726', '92', '97', '109', '190', '828', '720', '164', '820', '717', '122', '100', '794']
['24', '507', '74', '514', '246', '634', '582', '935', '385', '393', '758', '596', '59', '265', '908', '461', '711', '26', '862', '898']
['551', '136', '316', '909', '17', '64', '538', '557', '798', '428', '260', '987', '968', '236', '903', '847', '748', '449', '745', '562']
['358', '368', '444', '218', '231', '518', '914', '822', '567', '864', '877', '520', '298', '491', '913', '897', '934', '306', '215', '289']
['878', '216', '695', '21', '694', '531', '994', '475', '49', '925', '978', '767', '860', '685', '267', '77', '764', '889', '843', '224']
['832', '266', '403', '340', '718', '42', '688', '56', '556', '286', '482', '673', '657', '493', '490', '290', '542', '624', '182', '739']
['177', '553', '955', '564', '133', '157', '863', '768', '54', '560', '398', '799', '183', '437', '696', '540', '420', '69', '464', '901']
['577', '912', '800', '84', '137', '342', '944', '819', '619', '367', '458', '771', '402', '879', '632', '836', '680', '519', '397', '871']
['807', '652', '363', '369', '546', '532', '462', '795', '479', '434', '35', '22', '496', '568', '628', '335', '905', '603', '975', '487']
['486', '324', '742', '840', '563', '2', '426', '911', '104', '868', '350', '191', '743', '570', '991', '939', '124', '41', '689', '849']
['268', '257', '234', '282', '524', '146', '773', '494', '988', '902', '971', '552', '954', '671', '85', '789', '667', '96', '253', '448']
['450', '297', '242', '343', '291', '521', '896', '940', '71', '33', '928', '721', '160', '310', '235', '143', '459', '749', '263', '261']
['589', '50', '610', '23', '766', '719', '584', '154', '293', '147', '314', '932', '151', '515', '443', '757', '498', '569', '920', '625']
['139', '669', '322', '353', '850', '276', '856', '332', '950', '149', '469', '311', '668', '937', '424', '595', '728', '783', '983', '181']
['592', '354', '655', '554', '239', '386', '964', '646', '686', '753', '875', '791', '572', '445', '67', '571', '107', '504', '529', '156']
['503', '121', '232', '391', '396', '376', '271', '3', '292', '52', '62', '321', '325', '837', '963', '750', '173', '249', '288', '777']
['57', '326', '601', '170', '972', '374', '414', '145', '45', '780', '410', '16', '990', '91', '55', '258', '814', '180', '98', '737']
['171', '961', '89', '855', '346', '501', '641', '95', '141', '590', '561', '565', '588', '936', '9', '674', '411', '778', '186', '508']
['468', '53', '759', '4', '923', '72', '888', '951', '79', '392', '738', '134', '974', '99', '626', '230', '670', '612', '251', '114']
['128', '965', '672', '763', '859', '583', '537', '980', '618', '841', '301', '394', '277', '102', '319', '388', '541', '400', '701', '82']
['770', '413', '710', '938', '243', '488', '810', '640', '185', '78', '337', '399', '884', '806', '351', '1', '199', '115', '949', '117']
['709', '678', '51', '435', '893', '714', '206', '87', '380', '196', '189', '94', '647', '617', '824', '237', '208', '985', '760', '999']
['933', '751', '378', '866', '108', '352', '712', '614', '809', '816', '615', '804', '210', '446', '278', '296', '11', '349', '684', '158']
['238', '959', '643', '485', '833', '548', '885', '142', '575', '535', '127', '627', '295', '533', '460', '466', '704', '952', '580', '93']
['377', '317', '240', '915', '725', '782', '217', '165', '857', '229', '576', '347', '629', '713', '698', '113', '159', '547', '637', '993']
['270', '209', '375', '729', '851', '731', '384', '162', '776', '762', '382', '522', '666', '18', '645', '0', '734', '600', '438', '858']
['769', '654', '926', '528', '500', '198', '123', '867', '489', '697', '924', '169', '931', '472', '835', '178', '958', '193', '842', '103']
['309', '574', '752', '339', '727', '371', '927', '130', '312', '733', '741', '275', '891', '516', '28', '338', '425', '213', '75', '132']
['681', '38', '214', '174', '984', '30', '427', '852', '962', '220', '32', '228', '254', '48', '423', '966', '831', '227', '138', '155']
['623', '943', '416', '175', '918', '687', '188', '976', '148', '606', '497', '827', '907', '899', '813', '305', '204', '865', '839', '372']
