['568', '425', '229', '844', '558', '641', '930', '801', '928', '921']
['640', '761', '11', '519', '487', '577', '189', '45', '123', '412']
['926', '753', '841', '717', '3', '355', '131', '269', '187', '748']
['2', '569', '931', '376', '125', '178', '207', '721', '646', '37']
['365', '817', '454', '712', '121', '294', '975', '811', '845', '32']
['649', '527', '318', '743', '209', '525', '683', '338', '754', '210']
['780', '406', '153', '772', '664', '292', '457', '560', '842', '912']
['257', '491', '129', '380', '608', '327', '804', '555', '730', '689']
['934', '176', '287', '615', '745', '290', '137', '451', '701', '752']
['856', '473', '659', '759', '248', '421', '466', '644', '266', '158']
['822', '322', '423', '272', '824', '505', '44', '347', '101', '710']
['901', '483', '251', '708', '164', '308', '214', '56', '737', '655']
['871', '283', '231', '475', '110', '215', '677', '480', '398', '328']
['416', '201', '592', '825', '951', '70', '909', '503', '974', '414']
['270', '626', '222', '391', '733', '50', '22', '714', '282', '58']
['499', '442', '424', '404', '680', '106', '381', '634', '609', '354']
['567', '674', '890', '681', '884', '4', '831', '149', '715', '54']
['7', '206', '777', '181', '41', '246', '191', '399', '781', '162']
['409', '114', '233', '847', '995', '28', '319', '766', '789', '120']
['504', '364', '302', '301', '870', '168', '564', '97', '903', '371']
['725', '402', '685', '169', '498', '220', '478', '295', '611', '167']
['750', '922', '471', '645', '374', '675', '262', '774', '185', '85']
['367', '790', '643', '23', '668', '806', '686', '765', '704', '540']
['829', '573', '234', '108', '534', '722', '578', '441', '948', '888']
['850', '227', '816', '770', '245', '523', '508', '886', '53', '511']
['221', '113', '520', '851', '894', '813', '837', '563', '490', '823']
['973', '576', '773', '281', '902', '452', '515', '126', '696', '853']
['588', '539', '518', '613', '468', '779', '346', '516', '795', '658']
['923', '589', '941', '165', '864', '818', '552', '128', '783', '828']
['360', '755', '585', '889', '20', '635', '742', '690', '393', '69']
['732', '253', '939', '477', '8', '621', '587', '959', '484', '918']
['524', '709', '428', '403', '15', '579', '159', '827', '351', '481']
['155', '183', '580', '150', '436', '682', '130', '718', '846', '193']
['513', '833', '797', '769', '796', '213', '268', '411', '976', '274']
['445', '47', '134', '857', '299', '617', '324', '166', '852', '952']
['388', '663', '502', '94', '446', '865', '36', '171', '387', '223']
['637', '325', '727', '303', '778', '143', '476', '27', '672', '190']
['618', '226', '953', '808', '949', '350', '450', '141', '707', '985']
['602', '243', '794', '212', '157', '107', '904', '997', '418', '103']
['353', '345', '978', '987', '542', '470', '729', '898', '485', '405']
['358', '24', '239', '610', '642', '177', '13', '854', '252', '38']
['447', '140', '397', '205', '65', '133', '337', '734', '749', '273']
['463', '598', '152', '920', '202', '249', '839', '906', '840', '344']
['530', '699', '500', '430', '401', '122', '756', '389', '855', '77']
['982', '79', '963', '899', '460', '653', '872', '947', '232', '834']
['687', '46', '638', '996', '192', '465', '288', '887', '551', '785']
['692', '673', '881', '711', '612', '575', '706', '83', '700', '341']
['170', '291', '352', '363', '656', '343', '488', '458', '757', '289']
['556', '284', '633', '431', '271', '305', '669', '627', '820', '377']
['29', '16', '960', '812', '514', '139', '849', '395', '648', '535']
['713', '427', '392', '970', '891', '172', '467', '5', '882', '495']
['260', '68', '792', '763', '758', '9', '590', '208', '536', '315']
['740', '237', '735', '925', '264', '989', '603', '335', '956', '684']
['550', '862', '66', '148', '969', '543', '362', '497', '429', '331']
['420', '417', '981', '570', '907', '132', '933', '280', '439', '261']
['278', '179', '791', '940', '461', '809', '946', '310', '64', '314']
['286', '267', '323', '554', '883', '136', '703', '914', '219', '76']
['799', '935', '557', '10', '93', '161', '650', '720', '145', '30']
['782', '394', '787', '479', '873', '26', '983', '195', '184', '866']
['990', '998', '665', '105', '456', '927', '810', '382', '867', '509']
['916', '333', '75', '559', '965', '117', '160', '964', '304', '339']
['565', '357', '582', '81', '529', '657', '571', '549', '311', '538']
['583', '100', '600', '678', '455', '40', '958', '838', '57', '836']
['422', '562', '356', '90', '419', '410', '670', '238', '698', '112']
['370', '349', '784', '48', '61', '440', '230', '17', '12', '830']
['469', '104', '908', '620', '863', '156', '84', '826', '39', '771']
['6', '72', '786', '938', '449', '98', '966', '628', '378', '501']
['999', '566', '747', '240', '895', '263', '277', '798', '814', '313']
['321', '438', '691', '316', '198', '614', '115', '819', '629', '731']
['407', '662', '496', '236', '667', '705', '815', '879', '361', '433']
['760', '950', '92', '244', '276', '936', '49', '647', '594', '510']
['593', '695', '459', '632', '196', '180', '326', '924', '957', '605']
['21', '217', '173', '512', '1', '702', '254', '666', '359', '163']
['599', '532', '235', '19', '144', '858', '893', '182', '991', '860']
['482', '199', '537', '250', '385', '62', '384', '386', '296', '74']
['528', '843', '109', '216', '188', '688', '992', '218', '651', '211']
['994', '320', '897', '200', '25', '660', '738', '124', '861', '584']
['82', '553', '35', '595', '807', '971', '739', '340', '400', '775']
['631', '561', '723', '147', '309', '224', '256', '142', '127', '379']
['768', '415', '835', '372', '336', '832', '135', '993', '943', '408']
['875', '18', '910', '622', '545', '390', '586', '55', '980', '329']
['652', '654', '285', '591', '606', '373', '453', '102', '984', '255']
['619', '533', '955', '905', '241', '986', '368', '636', '138', '492']
['78', '298', '726', '396', '848', '616', '86', '258', '197', '293']
['448', '885', '151', '87', '489', '868', '693', '788', '63', '300']
['247', '896', '597', '88', '472', '275', '312', '99', '581', '91']
['968', '259', '432', '146', '639', '67', '945', '961', '917', '334']
['776', '464', '506', '878', '434', '962', '437', '60', '547', '111']
['317', '944', '937', '96', '0', '988', '915', '42', '728', '486']
['369', '521', '342', '194', '175', '95', '767', '874', '929', '348']
['435', '744', '204', '623', '751', '877', '494', '174', '694', '601']
['741', '541', '14', '574', '297', '800', '762', '366', '228', '225']
['118', '821', '977', '265', '793', '89', '746', '679', '716', '607']
