['58', '695', '471', '361', '667', '145', '648', '260', '251', '643', '137', '684', '473', '211', '258', '310', '2', '151', '639', '565', '202', '75', '670', '136', '223', '708', '546', '681', '463', '556']
['590', '355', '475', '406', '248', '108', '404', '307', '498', '545', '631', '407', '81', '395', '71', '538', '455', '143', '691', '745', '442', '358', '269', '630', '689', '312', '377', '537', '259', '391']
['294', '239', '69', '235', '574', '688', '568', '525', '130', '175', '92', '88', '29', '272', '114', '26', '483', '128', '384', '402', '40', '350', '104', '470', '166', '607', '230', '479', '680', '508']
['326', '724', '554', '458', '632', '388', '148', '414', '177', '147', '505', '547', '339', '496', '422', '34', '30', '256', '492', '224', '66', '241', '710', '589', '472', '728', '555', '265', '123', '165']
['642', '181', '42', '91', '60', '10', '678', '282', '146', '343', '209', '206', '614', '597', '96', '270', '133', '534', '569', '169', '368', '308', '423', '9', '7', '25', '159', '558', '315', '50']
['697', '289', '403', '734', '332', '587', '578', '254', '478', '673', '322', '233', '615', '559', '491', '152', '317', '306', '437', '238', '61', '57', '644', '506', '649', '585', '135', '73', '709', '562']
['729', '122', '264', '417', '106', '164', '46', '450', '287', '304', '351', '176', '570', '428', '98', '8', '150', '544', '561', '344', '448', '497', '477', '36', '321', '291', '580', '705', '263', '480']
['747', '376', '421', '598', '5', '461', '336', '742', '112', '723', '295', '699', '219', '203', '416', '660', '49', '553', '83', '581', '76', '686', '457', '67', '313', '392', '353', '120', '671', '740']
['441', '550', '70', '435', '524', '232', '703', '162', '427', '204', '15', '683', '541', '210', '449', '276', '677', '519', '43', '163', '566', '89', '39', '548', '690', '292', '370', '17', '56', '365']
['500', '393', '523', '62', '300', '542', '221', '527', '418', '320', '178', '171', '576', '535', '499', '11', '296', '13', '102', '662', '154', '126', '623', '262', '314', '107', '207', '47', '38', '93']
['608', '231', '651', '346', '732', '28', '380', '186', '200', '33', '595', '647', '646', '536', '183', '467', '397', '521', '236', '466', '275', '243', '363', '620', '577', '430', '110', '323', '661', '557']
['21', '37', '390', '486', '600', '518', '214', '634', '118', '641', '189', '669', '172', '381', '121', '716', '445', '220', '378', '625', '288', '131', '103', '637', '539', '685', '167', '253', '293', '12']
['604', '654', '208', '735', '464', '68', '330', '302', '746', '80', '155', '739', '348', '663', '79', '652', '459', '156', '182', '138', '352', '635', '513', '193', '357', '225', '201', '719', '410', '249']
['551', '303', '187', '743', '95', '74', '511', '560', '205', '744', '218', '640', '613', '394', '664', '244', '588', '245', '468', '116', '489', '227', '72', '737', '318', '694', '451', '599', '399', '713']
['18', '63', '702', '738', '517', '605', '612', '627', '736', '714', '149', '412', '0', '212', '657', '180', '552', '222', '722', '311', '383', '19', '603', '94', '628', '379', '55', '297', '372', '665']
['340', '563', '656', '141', '398', '504', '192', '82', '261', '447', '413', '24', '77', '32', '279', '190', '715', '693', '638', '229', '84', '319', '111', '41', '153', '616', '572', '533', '115', '485']
['217', '730', '364', '741', '591', '650', '672', '624', '86', '626', '658', '386', '360', '382', '100', '621', '503', '354', '65', '659', '369', '174', '438', '213', '27', '362', '676', '429', '528', '420']
['409', '124', '184', '194', '636', '487', '280', '334', '512', '682', '594', '273', '549', '596', '481', '425', '52', '700', '349', '331', '215', '329', '127', '327', '494', '1', '6', '298', '510', '371']
['216', '456', '338', '488', '507', '408', '515', '666', '727', '161', '198', '274', '629', '698', '324', '375', '199', '526', '290', '622', '373', '277', '285', '415', '564', '301', '23', '509', '484', '125']
['675', '252', '645', '250', '337', '119', '109', '284', '158', '59', '502', '113', '129', '396', '601', '668', '474', '531', '366', '356', '444', '440', '246', '105', '188', '99', '374', '234', '653', '341']
['655', '610', '342', '431', '48', '452', '257', '712', '45', '160', '726', '157', '573', '14', '453', '405', '411', '701', '385', '731', '454', '281', '54', '592', '720', '443', '725', '495', '530', '278']
['255', '679', '606', '529', '733', '16', '132', '582', '575', '142', '85', '436', '170', '586', '482', '144', '462', '286', '520', '618', '674', '97', '424', '522', '401', '532', '692', '197', '347', '432']
['706', '44', '721', '514', '583', '22', '493', '687', '617', '609', '305', '717', '567', '78', '419', '299', '271', '226', '707', '460', '87', '490', '173', '328', '179', '237', '711', '185', '540', '602']
['367', '571', '335', '469', '266', '168', '748', '434', '195', '191', '333', '593', '476', '247', '749', '387', '140', '35', '139', '619', '31', '389', '465', '20', '543', '196', '283', '345', '400', '3']
['309', '228', '611', '64', '242', '584', '446', '433', '325', '267', '516', '240', '117', '501', '439', '268', '134', '579', '359', '696', '53', '426', '101', '316', '633', '718', '90', '4', '51', '704']
