['295', '715', '223', '381', '146']
['398', '375', '359', '536', '952']
['271', '950', '197', '889', '103']
['170', '790', '599', '127', '114']
['971', '12', '857', '843', '278']
['704', '832', '249', '229', '266']
['734', '779', '186', '570', '928']
['707', '204', '903', '752', '834']
['58', '768', '145', '623', '237']
['277', '367', '20', '579', '480']
['391', '262', '854', '227', '576']
['711', '494', '738', '102', '116']
['626', '358', '44', '978', '941']
['360', '519', '310', '559', '81']
['568', '886', '348', '149', '52']
['155', '827', '18', '287', '79']
['32', '996', '539', '210', '308']
['977', '563', '748', '92', '811']
['995', '19', '515', '571', '258']
['542', '352', '696', '346', '268']
['655', '192', '340', '583', '30']
['710', '631', '242', '918', '954']
['333', '709', '744', '884', '908']
['621', '451', '193', '9', '922']
['439', '758', '729', '965', '708']
['852', '314', '428', '327', '722']
['319', '828', '21', '505', '388']
['131', '205', '598', '349', '419']
['573', '693', '417', '877', '434']
['504', '661', '863', '41', '992']
['321', '228', '940', '302', '95']
['972', '855', '881', '212', '964']
['873', '408', '727', '420', '894']
['374', '107', '534', '802', '516']
['764', '968', '341', '126', '351']
['241', '325', '108', '533', '59']
['69', '187', '1', '567', '724']
['99', '328', '35', '994', '607']
['361', '406', '664', '611', '33']
['750', '253', '812', '772', '297']
['799', '929', '455', '826', '382']
['740', '987', '50', '498', '797']
['944', '730', '763', '920', '61']
['119', '537', '562', '239', '246']
['829', '216', '89', '142', '150']
['560', '217', '601', '469', '896']
['949', '853', '846', '456', '728']
['135', '668', '415', '285', '3']
['507', '96', '51', '677', '678']
['280', '942', '8', '833', '368']
['733', '820', '224', '592', '363']
['895', '742', '500', '815', '344']
['384', '174', '161', '633', '43']
['554', '11', '158', '159', '608']
['68', '373', '925', '801', '493']
['911', '759', '437', '6', '134']
['605', '438', '290', '613', '861']
['641', '63', '669', '835', '634']
['75', '400', '718', '798', '80']
['471', '436', '551', '660', '737']
['413', '770', '454', '933', '90']
['71', '900', '447', '919', '463']
['783', '771', '701', '112', '121']
['118', '70', '657', '111', '932']
['365', '106', '465', '366', '862']
['687', '647', '924', '975', '53']
['725', '546', '792', '478', '172']
['220', '435', '138', '401', '870']
['635', '577', '959', '387', '28']
['756', '201', '703', '335', '643']
['2', '999', '284', '955', '644']
['905', '913', '767', '399', '511']
['286', '993', '549', '674', '795']
['233', '587', '682', '441', '369']
['320', '527', '77', '356', '723']
['535', '817', '630', '667', '984']
['956', '323', '836', '807', '556']
['813', '793', '491', '421', '979']
['183', '580', '162', '203', '814']
['130', '483', '760', '663', '606']
['698', '470', '578', '105', '10']
['273', '670', '603', '153', '688']
['548', '332', '60', '550', '686']
['982', '899', '416', '616', '178']
['452', '431', '240', '615', '988']
['5', '561', '238', '418', '83']
['543', '716', '394', '520', '665']
['264', '868', '581', '976', '824']
['784', '741', '788', '552', '697']
['232', '904', '403', '472', '182']
['64', '299', '642', '502', '476']
['265', '353', '7', '847', '473']
['225', '651', '484', '485', '376']
['218', '970', '461', '91', '529']
['251', '288', '122', '778', '364']
['0', '259', '588', '184', '545']
['357', '45', '86', '848', '685']
['781', '675', '569', '291', '495']
['208', '386', '185', '963', '73']
['646', '355', '56', '306', '522']
['791', '645', '196', '293', '926']
['736', '680', '475', '100', '866']
['230', '22', '396', '300', '640']
['13', '564', '714', '312', '444']
['755', '179', '591', '874', '671']
['25', '125', '305', '629', '78']
['326', '782', '109', '336', '383']
['453', '42', '141', '166', '566']
['649', '481', '841', '446', '261']
['65', '47', '691', '869', '247']
['951', '786', '97', '948', '110']
['574', '622', '423', '512', '123']
['334', '315', '726', '405', '530']
['499', '412', '180', '689', '283']
['329', '872', '879', '104', '235']
['823', '694', '294', '407', '98']
['94', '654', '989', '856', '29']
['653', '594', '974', '912', '780']
['88', '632', '739', '467', '821']
['276', '38', '143', '553', '558']
['840', '673', '914', '163', '487']
['985', '762', '891', '822', '907']
['967', '263', '169', '625', '156']
['168', '274', '620', '270', '700']
['525', '200', '236', '309', '342']
['36', '74', '389', '804', '596']
['171', '990', '26', '339', '488']
['215', '450', '243', '851', '279']
['377', '842', '231', '16', '910']
['960', '721', '442', '906', '303']
['27', '139', '743', '604', '746']
['761', '219', '584', '769', '177']
['656', '422', '84', '385', '818']
['531', '699', '167', '497', '810']
['307', '844', '849', '915', '837']
['76', '719', '825', '916', '15']
['85', '946', '676', '930', '602']
['468', '72', '775', '209', '245']
['796', '459', '440', '345', '945']
['947', '120', '267', '541', '816']
['350', '586', '370', '831', '595']
['627', '117', '393', '803', '503']
['731', '474', '199', '639', '789']
['565', '882', '766', '523', '845']
['449', '859', '257', '432', '362']
['164', '337', '518', '800', '850']
['244', '747', '254', '338', '458']
['136', '49', '372', '194', '489']
['39', '213', '67', '37', '720']
['479', '610', '991', '34', '805']
['638', '927', '255', '54', '557']
['331', '392', '430', '313', '395']
['794', '486', '250', '600', '555']
['390', '648', '934', '234', '617']
['880', '777', '808', '865', '482']
['909', '443', '93', '612', '492']
['206', '433', '858', '477', '917']
['957', '939', '144', '923', '749']
['705', '517', '124', '410', '898']
['371', '652', '679', '597', '572']
['272', '275', '317', '191', '614']
['931', '876', '151', '23', '683']
['289', '532', '969', '4', '892']
['666', '830', '181', '269', '17']
['538', '864', '888', '875', '712']
['897', '902', '953', '457', '575']
['510', '636', '774', '883', '448']
['921', '961', '637', '175', '55']
['983', '48', '292', '490', '147']
['221', '966', '188', '765', '322']
['252', '890', '526', '445', '838']
['24', '148', '887', '256', '935']
['973', '113', '650', '544', '347']
['354', '809', '62', '501', '590']
['318', '304', '411', '101', '87']
['397', '706', '754', '871', '260']
['943', '462', '745', '466', '424']
['426', '589', '129', '409', '751']
['684', '713', '165', '301', '958']
['211', '672', '662', '524', '222']
['414', '509', '378', '133', '528']
['547', '757', '513', '609', '128']
['981', '776', '160', '298', '962']
['330', '986', '40', '404', '496']
['324', '901', '202', '506', '998']
['773', '190', '618', '593', '839']
['176', '66', '82', '57', '937']
['787', '508', '658', '282', '140']
['464', '207', '619', '14', '460']
['173', '425', '659', '311', '893']
['514', '885', '521', '980', '316']
['132', '379', '31', '281', '690']
['753', '938', '717', '248', '157']
['429', '936', '695', '46', '427']
['115', '214', '137', '819', '702']
['806', '624', '681', '692', '198']
['343', '195', '154', '997', '540']
['878', '732', '785', '189', '152']
['380', '628', '296', '402', '582']
['860', '226', '585', '867', '735']
