['478', '416', '68', '18', '242', '12', '43', '38', '49', '458', '67', '248', '177', '104', '62', '100', '350', '23', '183', '0', '342', '160', '126', '205']
['477', '30', '336', '370', '349', '83', '17', '371', '313', '421', '60', '14', '201', '93', '352', '444', '468', '228', '409', '25', '198', '436', '88', '1']
['475', '39', '108', '5', '275', '75', '19', '116', '374', '127', '255', '29', '174', '89', '24', '156', '112', '66', '286', '212', '79', '52', '51', '168']
['472', '2', '224', '72', '261', '363', '58', '146', '42', '354', '3', '189', '431', '92', '325', '386', '369', '391', '117', '225', '429', '215', '276', '309']
['471', '473', '249', '398', '122', '159', '31', '153', '197', '428', '385', '426', '377', '118', '139', '129', '9', '97', '387', '319', '315', '78', '26', '172']
['470', '222', '295', '32', '442', '399', '341', '375', '301', '288', '15', '16', '179', '332', '11', '326', '135', '221', '302', '364', '419', '266', '57', '91']
['469', '300', '145', '282', '360', '144', '70', '50', '461', '148', '259', '306', '103', '233', '102', '381', '204', '241', '10', '271', '330', '422', '229', '48']
['467', '263', '182', '454', '84', '425', '53', '196', '114', '155', '333', '142', '321', '361', '239', '165', '427', '208', '8', '418', '200', '367', '149', '305']
['465', '96', '94', '143', '474', '247', '163', '180', '434', '162', '133', '264', '86', '80', '368', '65', '217', '71', '476', '124', '283', '206', '303', '45']
['464', '90', '190', '232', '240', '314', '107', '56', '59', '199', '210', '158', '194', '216', '167', '77', '390', '73', '466', '298', '267', '438', '238', '123']
['460', '34', '44', '40', '262', '337', '161', '64', '384', '405', '76', '234', '128', '274', '293', '202', '272', '435', '193', '317', '109', '353', '414', '372']
['459', '13', '115', '307', '188', '207', '61', '316', '178', '20', '268', '308', '362', '138', '211', '27', '407', '4', '411', '22', '6', '173', '21', '82']
['457', '243', '131', '170', '290', '218', '184', '318', '245', '400', '424', '304', '231', '389', '85', '379', '140', '150', '87', '154', '331', '137', '273', '134']
['456', '388', '169', '125', '281', '396', '433', '406', '185', '339', '448', '36', '223', '294', '244', '187', '423', '226', '256', '98', '250', '151', '395', '265']
['452', '7', '28', '74', '236', '291', '270', '413', '412', '345', '99', '227', '192', '157', '147', '376', '347', '378', '260', '334', '81', '119', '54', '164']
['451', '69', '417', '37', '420', '63', '397', '297', '141', '324', '455', '152', '41', '235', '329', '35', '220', '166', '176', '292', '366', '254', '280', '344']
['450', '257', '299', '439', '356', '430', '401', '441', '175', '277', '310', '383', '394', '328', '132', '296', '110', '453', '340', '55', '213', '46', '47', '101']
['449', '121', '237', '415', '258', '214', '269', '359', '285', '365', '373', '191', '284', '348', '278', '287', '311', '320', '312', '338', '355', '393', '186', '327']
['446', '33', '335', '358', '113', '106', '219', '181', '203', '130', '136', '382', '402', '437', '440', '343', '462', '209', '95', '251', '479', '279', '171', '323']
['445', '105', '403', '322', '111', '351', '357', '289', '432', '408', '253', '252', '410', '380', '404', '463', '120', '443', '346', '246', '230', '195', '447', '392']
