['263', '20', '28', '18', '12', '25', '13', '9', '31', '17', '16']
['261', '11', '21', '19', '14', '26', '23', '15', '36', '30', '32']
['260', '34', '39', '29', '37', '22', '27', '24', '42', '43', '41']
['258', '33', '35', '53', '48', '38', '40', '47', '50', '45', '49']
['255', '54', '58', '56', '64', '46', '59', '51', '61', '52', '44']
['253', '62', '55', '57', '65', '67', '70', '63', '72', '60', '75']
['257', '69', '81', '68', '73', '86', '83', '71', '66', '80', '76']
['256', '74', '78', '84', '92', '94', '91', '97', '89', '82', '79']
['259', '77', '85', '87', '102', '100', '96', '98', '90', '105', '108']
['254', '93', '88', '103', '95', '116', '101', '104', '111', '119', '99']
['262', '107', '113', '106', '109', '114', '117', '124', '127', '112', '110']
['252', '125', '122', '130', '115', '118', '120', '131', '129', '123', '138']
['250', '133', '136', '135', '141', '121', '126', '128', '146', '139', '134']
['249', '142', '149', '137', '144', '132', '147', '152', '140', '158', '157']
['247', '150', '143', '151', '163', '160', '148', '153', '155', '145', '166']
['244', '164', '154', '171', '156', '169', '161', '174', '159', '168', '162']
['242', '179', '177', '165', '185', '172', '170', '182', '173', '175', '167']
['241', '180', '190', '178', '196', '184', '193', '183', '176', '191', '181']
['239', '186', '188', '192', '195', '189', '199', '187', '197', '202', '204']
['238', '201', '194', '207', '198', '200', '213', '206', '208', '210', '205']
['236', '218', '215', '212', '203', '223', '216', '217', '219', '226', '211']
['233', '214', '209', '234', '240', '232', '235', '237', '243', '245', '248']
['231', '251', '246', '0', '4', '10', '3', '6', '7', '2', '1']
['230', '229', '221', '224', '220', '222', '225', '227', '228', '8', '5']
