['a168', 'a284', 'a477', 'a143', 'a43', 'a174', 'a64', 'a266', 'a187', 'a35', 'a60', 'a231']
['a82', 'a367', 'a480', 'a145', 'a361', 'a254', 'a199', 'a247', 'a210', 'a239', 'a322', 'a334']
['a331', 'a224', 'a245', 'a140', 'a335', 'a399', 'a92', 'a292', 'a358', 'a133', 'a142', 'a137']
['a223', 'a478', 'a421', 'a55', 'a427', 'a138', 'a353', 'a282', 'a303', 'a79', 'a97', 'a30']
['a154', 'a48', 'a279', 'a132', 'a76', 'a398', 'a347', 'a195', 'a332', 'a73', 'a396', 'a277']
['a139', 'a90', 'a349', 'a183', 'a38', 'a204', 'a78', 'a300', 'a186', 'a180', 'a374', 'a465']
['a406', 'a357', 'a182', 'a147', 'a217', 'a2', 'a41', 'a388', 'a46', 'a197', 'a395', 'a442']
['a356', 'a113', 'a383', 'a274', 'a188', 'a96', 'a206', 'a6', 'a424', 'a297', 'a129', 'a179']
['a339', 'a47', 'a150', 'a209', 'a423', 'a443', 'a325', 'a52', 'a428', 'a202', 'a102', 'a62']
['a264', 'a429', 'a309', 'a27', 'a407', 'a246', 'a207', 'a315', 'a149', 'a394', 'a354', 'a153']
['a165', 'a177', 'a56', 'a455', 'a364', 'a51', 'a83', 'a208', 'a467', 'a269', 'a88', 'a352']
['a163', 'a68', 'a273', 'a175', 'a58', 'a449', 'a400', 'a402', 'a422', 'a39', 'a14', 'a222']
['a69', 'a270', 'a375', 'a368', 'a194', 'a436', 'a350', 'a218', 'a205', 'a268', 'a314', 'a267']
['a12', 'a128', 'a171', 'a11', 'a200', 'a310', 'a336', 'a215', 'a304', 'a42', 'a214', 'a295']
['a243', 'a360', 'a302', 'a117', 'a419', 'a256', 'a457', 'a235', 'a271', 'a71', 'a276', 'a238']
['a121', 'a340', 'a105', 'a155', 'a234', 'a103', 'a288', 'a319', 'a23', 'a59', 'a86', 'a440']
['a313', 'a196', 'a201', 'a185', 'a363', 'a233', 'a19', 'a389', 'a259', 'a464', 'a227', 'a265']
['a257', 'a53', 'a77', 'a100', 'a26', 'a191', 'a198', 'a476', 'a461', 'a458', 'a236', 'a3']
['a54', 'a260', 'a44', 'a176', 'a326', 'a17', 'a390', 'a252', 'a178', 'a410', 'a115', 'a380']
['a475', 'a452', 'a471', 'a426', 'a431', 'a29', 'a219', 'a21', 'a409', 'a248', 'a107', 'a203']
['a435', 'a120', 'a280', 'a111', 'a15', 'a401', 'a84', 'a7', 'a116', 'a225', 'a151', 'a474']
['a306', 'a278', 'a49', 'a152', 'a311', 'a462', 'a40', 'a104', 'a148', 'a333', 'a5', 'a328']
['a468', 'a444', 'a156', 'a87', 'a136', 'a63', 'a308', 'a253', 'a289', 'a294', 'a242', 'a170']
['a441', 'a166', 'a135', 'a299', 'a433', 'a24', 'a124', 'a412', 'a110', 'a16', 'a448', 'a80']
['a415', 'a291', 'a408', 'a193', 'a237', 'a420', 'a9', 'a66', 'a372', 'a130', 'a439', 'a473']
['a158', 'a451', 'a13', 'a114', 'a384', 'a261', 'a345', 'a312', 'a387', 'a230', 'a31', 'a369']
['a33', 'a463', 'a371', 'a126', 'a10', 'a479', 'a404', 'a343', 'a61', 'a450', 'a430', 'a263']
['a290', 'a169', 'a85', 'a81', 'a122', 'a258', 'a255', 'a67', 'a359', 'a321', 'a287', 'a318']
['a285', 'a37', 'a293', 'a320', 'a141', 'a342', 'a164', 'a160', 'a385', 'a251', 'a365', 'a432']
['a172', 'a351', 'a405', 'a25', 'a212', 'a125', 'a386', 'a213', 'a262', 'a95', 'a89', 'a108']
['a167', 'a106', 'a298', 'a414', 'a211', 'a391', 'a123', 'a1', 'a20', 'a307', 'a226', 'a240']
['a134', 'a189', 'a355', 'a377', 'a32', 'a446', 'a94', 'a317', 'a275', 'a131', 'a4', 'a327']
['a119', 'a72', 'a249', 'a376', 'a181', 'a454', 'a192', 'a460', 'a101', 'a472', 'a370', 'a162']
['a118', 'a411', 'a346', 'a434', 'a232', 'a228', 'a459', 'a241', 'a392', 'a127', 'a418', 'a8']
['a109', 'a324', 'a362', 'a366', 'a65', 'a338', 'a98', 'a393', 'a453', 'a373', 'a469', 'a161']
['a99', 'a229', 'a75', 'a438', 'a337', 'a91', 'a281', 'a216', 'a283', 'a244', 'a112', 'a305']
['a70', 'a379', 'a348', 'a74', 'a220', 'a447', 'a381', 'a397', 'a425', 'a157', 'a416', 'a301']
['a34', 'a323', 'a437', 'a144', 'a50', 'a417', 'a272', 'a221', 'a382', 'a341', 'a316', 'a329']
['a470', 'a445', 'a250', 'a45', 'a159', 'a57', 'a466', 'a378', 'a344', 'a36', 'a403', 'a184']
['a18', 'a330', 'a413', 'a22', 'a286', 'a456', 'a93', 'a296', 'a28', 'a146', 'a173', 'a190']
