['a', 'go', 'fl', 'ca', 'kd', 'dp', 'il', 'jt', 'ga', 'cd']
['hd', 'y', 'df', 'hr', 'hb', 'ea', 'kb', 'kf', 'jh', 'gq']
['hl', 'ji', 'o', 'dt', 'is', 'hp', 'jw', 'cy', 'fj', 'el']
['bs', 'i', 'fh', 'fz', 'ex', 'ey', 'hs', 'cn', 'r', 'kg']
['du', 'fn', 'bu', 'w', 'ct', 'iy', 'ae', 'fd', 'ec', 'cw']
['gj', 'gy', 'gn', 'db', 'ke', 'jv', 'p', 'ap', 'fg', 'dz']
['ge', 'ib', 'cc', 'cb', 'dx', 'dg', 'de', 'jk', 'aw', 'jx']
['km', 'iv', 'aj', 'gu', 'ft', 'eo', 'z', 'cx', 'jd', 'ce']
['kh', 'm', 'fe', 'fv', 'cl', 'jg', 'cu', 'eh', 'at', 'do']
['fi', 'dc', 'fw', 'ep', 'ax', 'jo', 'jl', 'dd', 'dm', 'fy']
['fc', 's', 'ej', 'al', 'jy', 'gw', 'q', 'co', 'dk', 'ha']
['fr', 'hi', 'hn', 'd', 'g', 'ef', 'dv', 'jn', 'ag', 'bp']
['fp', 'gh', 'bx', 'ho', 'if', 'bc', 'dy', 'bw', 'ip', 'au']
['am', 'gg', 'gi', 'kc', 'ck', 'js', 'jf', 'je', 'gr', 'gv']
['ad', 'jc', 'ic', 'eg', 'en', 'cm', 'fk', 'gm', 'ez', 'iw']
['ab', 'bk', 'bf', 'da', 'iq', 'aa', 'dq', 'bg', 'hw', 'fq']
['ac', 'bi', 'l', 'hg', 'dr', 'ek', 'jp', 'ak', 'bt', 'ik']
['ix', 'ij', 'ja', 'f', 'ir', 'gp', 'gb', 'et', 'fs', 'jb']
['hz', 'es', 'n', 'h', 'ds', 'fm', 'bm', 'x', 'gs', 'by']
['iu', 'ie', 'iz', 'hf', 'eu', 'er', 'br', 'zz', 'ff', 'kl']
['cp', 'dl', 'jr', 'bj', 'hc', 'az', 'av', 'u', 'io', 'bl']
['bq', 'jm', 'ay', 'aq', 'hj', 'as', 'bb', 'c', 'bo', 't']
['be', 'dh', 'j', 'ci', 'ar', 'fx', 'bn', 'di', 'gz', 'gc']
['bd', 'gx', 'jj', 'dw', 'kn', 'hx', 'gl', 'ed', 'cg', 'ka']
['it', 'ih', 'af', 'bz', 'cq', 'hm', 'cj', 'cz', 'eb', 'an']
['jz', 'hy', 'hv', 'cr', 'hu', 'hk', 'ju', 'he', 'fa', 'bv']
['ev', 'gd', 'fo', 'fu', 'in', 'ii', 'ee', 'ch', 'ai', 'ew']
['dj', 'k', 'kk', 'ah', 'ki', 'jq', 'dn', 'ei', 'b', 'gk']
['kj', 'ba', 'cs', 'gf', 'v', 'ht', 'im', 'hh', 'fb', 'ia']
['e', 'em', 'cv', 'ig', 'eq', 'cf', 'bh', 'hq', 'ao', 'gt']
