['308', '485', '20', '372', '473', '188', '267', '276', '299', '98', '191', '62', '114', '268', '425', '453', '346', '133', '203', '479']
['182', '490', '241', '330', '329', '89', '426', '448', '95', '4', '460', '325', '117', '499', '420', '351', '142', '36', '5', '491']
['498', '49', '193', '428', '222', '258', '397', '134', '124', '14', '296', '291', '412', '137', '253', '84', '423', '280', '79', '300']
['488', '228', '271', '151', '477', '480', '478', '461', '210', '469', '167', '257', '331', '164', '32', '38', '359', '401', '120', '392']
['286', '486', '0', '492', '289', '91', '205', '327', '433', '59', '213', '353', '381', '18', '66', '301', '166', '156', '374', '403']
['212', '245', '172', '348', '481', '338', '442', '432', '263', '24', '219', '56', '259', '496', '144', '175', '209', '123', '148', '113']
['411', '361', '187', '279', '277', '177', '75', '6', '342', '83', '309', '247', '78', '254', '418', '16', '126', '376', '130', '378']
['365', '206', '198', '406', '489', '153', '459', '396', '97', '288', '305', '483', '111', '429', '440', '202', '339', '394', '218', '195']
['199', '344', '380', '147', '404', '332', '150', '283', '220', '73', '441', '146', '240', '315', '273', '362', '236', '145', '178', '366']
['105', '77', '290', '317', '116', '131', '12', '88', '390', '28', '384', '215', '208', '389', '58', '303', '163', '456', '132', '230']
['103', '242', '197', '76', '68', '224', '185', '430', '272', '395', '449', '67', '333', '226', '141', '497', '194', '9', '262', '232']
['447', '319', '29', '482', '298', '1', '311', '413', '165', '355', '466', '69', '427', '408', '234', '264', '322', '48', '192', '457']
['410', '356', '443', '22', '52', '160', '302', '108', '196', '431', '138', '304', '334', '316', '468', '33', '139', '347', '63', '350']
['391', '41', '39', '170', '386', '249', '183', '409', '270', '493', '255', '34', '223', '248', '106', '99', '417', '467', '136', '158']
['370', '168', '293', '416', '13', '265', '102', '161', '180', '31', '17', '107', '452', '30', '85', '407', '434', '284', '112', '323']
['363', '110', '446', '345', '246', '40', '207', '419', '71', '128', '216', '464', '310', '354', '314', '190', '100', '321', '74', '307']
['285', '474', '81', '27', '281', '438', '82', '104', '383', '42', '235', '229', '295', '287', '462', '312', '414', '176', '458', '57']
['282', '252', '385', '388', '70', '26', '179', '364', '37', '352', '231', '475', '25', '487', '35', '328', '399', '181', '439', '184']
['260', '96', '341', '337', '171', '463', '274', '251', '269', '53', '8', '159', '494', '109', '47', '349', '21', '201', '44', '2']
['238', '326', '239', '92', '3', '51', '225', '358', '424', '336', '402', '450', '162', '335', '46', '217', '80', '415', '377', '152']
['90', '221', '149', '369', '140', '324', '43', '60', '360', '379', '19', '371', '320', '173', '484', '169', '297', '368', '94', '435']
['64', '186', '476', '72', '233', '10', '214', '244', '250', '87', '45', '454', '55', '495', '343', '340', '65', '294', '243', '135']
['470', '318', '204', '54', '266', '119', '444', '189', '451', '256', '23', '400', '121', '455', '382', '122', '237', '155', '127', '398']
['436', '472', '86', '393', '227', '471', '101', '421', '7', '211', '373', '437', '157', '375', '11', '154', '313', '118', '405', '61']
['422', '93', '50', '275', '143', '292', '200', '278', '387', '306', '367', '15', '465', '125', '115', '261', '445', '357', '174', '129']
