['s359', 's438', 's42', 's332', 's114', 's214', 's72', 's474', 's475', 's338']
['s436', 's52', 's313', 's151', 's2', 's440', 's111', 's484', 's316', 's113']
['s50', 's488', 's219', 's295', 's172', 's453', 's375', 's118', 's490', 's357']
['s370', 's200', 's291', 's404', 's240', 's340', 's204', 's68', 's86', 's234']
['s157', 's389', 's482', 's53', 's216', 's181', 's191', 's472', 's300', 's327']
['s55', 's280', 's6', 's326', 's213', 's434', 's480', 's131', 's100', 's62']
['s454', 's35', 's402', 's498', 's373', 's39', 's456', 's150', 's206', 's386']
['s433', 's254', 's31', 's225', 's40', 's379', 's12', 's408', 's290', 's371']
['s125', 's263', 's343', 's194', 's187', 's179', 's302', 's310', 's135', 's312']
['s235', 's471', 's384', 's20', 's247', 's415', 's445', 's133', 's393', 's152']
['s195', 's245', 's87', 's164', 's155', 's392', 's215', 's444', 's435', 's37']
['s266', 's124', 's407', 's14', 's244', 's467', 's372', 's154', 's17', 's350']
['s25', 's333', 's486', 's90', 's38', 's363', 's276', 's352', 's209', 's421']
['s449', 's324', 's464', 's391', 's455', 's494', 's493', 's345', 's443', 's424']
['s259', 's272', 's430', 's309', 's59', 's22', 's58', 's355', 's81', 's201']
['s432', 's233', 's130', 's202', 's297', 's162', 's106', 's122', 's5', 's0']
['s223', 's378', 's298', 's161', 's380', 's431', 's159', 's428', 's41', 's476']
['s284', 's66', 's412', 's199', 's315', 's227', 's88', 's248', 's178', 's208']
['s158', 's481', 's347', 's238', 's458', 's325', 's89', 's418', 's51', 's203']
['s148', 's362', 's205', 's142', 's190', 's304', 's242', 's180', 's382', 's469']
['s67', 's222', 's262', 's403', 's270', 's286', 's447', 's182', 's220', 's149']
['s437', 's196', 's353', 's198', 's1', 's273', 's26', 's483', 's305', 's32']
['s92', 's463', 's321', 's367', 's292', 's381', 's171', 's27', 's13', 's23']
['s207', 's271', 's127', 's308', 's15', 's193', 's293', 's401', 's450', 's478']
['s311', 's189', 's141', 's136', 's452', 's395', 's301', 's93', 's108', 's44']
['s413', 's416', 's99', 's156', 's96', 's177', 's175', 's283', 's466', 's459']
['s77', 's74', 's230', 's212', 's29', 's91', 's351', 's323', 's257', 's253']
['s348', 's112', 's296', 's461', 's71', 's258', 's281', 's420', 's63', 's468']
['s320', 's388', 's496', 's85', 's9', 's183', 's226', 's425', 's366', 's349']
['s84', 's406', 's139', 's132', 's491', 's61', 's441', 's360', 's174', 's419']
['s95', 's285', 's344', 's358', 's80', 's411', 's146', 's76', 's137', 's390']
['s19', 's289', 's166', 's64', 's288', 's495', 's8', 's336', 's268', 's396']
['s376', 's65', 's229', 's457', 's30', 's256', 's337', 's49', 's117', 's400']
['s460', 's36', 's167', 's78', 's277', 's70', 's239', 's252', 's448', 's318']
['s107', 's10', 's361', 's232', 's83', 's354', 's231', 's7', 's331', 's261']
['s294', 's397', 's82', 's377', 's446', 's33', 's128', 's473', 's243', 's246']
['s314', 's18', 's249', 's364', 's346', 's210', 's369', 's385', 's322', 's143']
['s115', 's241', 's126', 's173', 's104', 's217', 's267', 's73', 's429', 's334']
['s4', 's97', 's48', 's278', 's54', 's138', 's479', 's60', 's45', 's140']
['s328', 's129', 's307', 's120', 's221', 's439', 's264', 's188', 's470', 's329']
['s356', 's3', 's184', 's489', 's109', 's24', 's394', 's368', 's224', 's299']
['s426', 's165', 's75', 's303', 's335', 's105', 's462', 's56', 's110', 's123']
['s319', 's409', 's330', 's116', 's279', 's383', 's98', 's451', 's374', 's417']
['s265', 's119', 's43', 's341', 's28', 's163', 's260', 's102', 's427', 's145']
['s282', 's399', 's339', 's79', 's497', 's365', 's236', 's21', 's176', 's57']
['s101', 's405', 's169', 's485', 's34', 's287', 's423', 's465', 's398', 's94']
['s477', 's342', 's414', 's442', 's144', 's69', 's153', 's306', 's492', 's192']
['s185', 's228', 's250', 's170', 's121']
['s197']
['s211', 's317', 's186', 's274', 's275', 's103', 's147', 's410', 's251', 's387']
['s11', 's499', 's487', 's47']
['s46', 's134', 's422', 's168', 's269', 's237', 's218', 's16', 's255', 's160']
