['a245', 'a69', 'a61', 'a10', 'a65', 'a13', 'a68', 'a63', 'a83', 'a87']
['a244', 'a86', 'a84', 'a85', 'a80', 'a88', 'a64', 'a207', 'a196', 'a197']
['a237', 'a190', 'a67', 'a95', 'a193', 'a126', 'a123', 'a127', 'a122', 'a124']
['a223', 'a120', 'a185', 'a189', 'a187', 'a180', 'a182', 'a188', 'a203', 'a202']
['a217', 'a209', 'a200', 'a206', 'a7', 'a1', 'a6', 'a4', 'a9', 'a11']
['a184', 'a15', 'a14', 'a19', 'a16', 'a81', 'a12', 'a66', 'a198', 'a191']
['a179', 'a204', 'a208', 'a98', 'a29', 'a26', 'a28', 'a25', 'a22', 'a37']
['a162', 'a33', 'a34', 'a35', 'a39', 'a194', 'a90', 'a192', 'a62', 'a91']
['a153', 'a94', 'a97', 'a93', 'a96', 'a70', 'a73', 'a72', 'a77', 'a76']
['a142', 'a100', 'a103', 'a109', 'a108', 'a106', 'a132', 'a139', 'a131', 'a138']
['a137', 'a133', 'a140', 'a141', 'a144', 'a145', 'a146', 'a157', 'a151', 'a158']
['a136', 'a152', 'a150', 'a159', 'a155', 'a165', 'a161', 'a160', 'a167', 'a169']
['a121', 'a168', 'a163', 'a210', 'a216', 'a211', 'a218', 'a214', 'a226', 'a227']
['a113', 'a224', 'a225', 'a221', 'a0', 'a5', 'a8', 'a2', 'a18', 'a17']
['a102', 'a201', 'a92', 'a99', 'a27', 'a23', 'a24', 'a38', 'a36', 'a30']
['a101', 'a40', 'a42', 'a41', 'a49', 'a48', 'a47', 'a43', 'a44', 'a50']
['a79', 'a54', 'a56', 'a57', 'a58', 'a52', 'a59', 'a51', 'a55', 'a60']
['a53', 'a78', 'a71', 'a75', 'a74', 'a82', 'a104', 'a105', 'a116', 'a115']
['a46', 'a110', 'a118', 'a119', 'a112', 'a117', 'a111', 'a130', 'a134', 'a135']
['a45', 'a148', 'a143', 'a149', 'a170', 'a171', 'a175', 'a173', 'a178', 'a176']
['a31', 'a172', 'a183', 'a181', 'a215', 'a213', 'a219', 'a222', 'a220', 'a229']
['a21', 'a230', 'a234', 'a239', 'a235', 'a231', 'a238', 'a232', 'a233', 'a205']
['a3', 'a20', 'a32', 'a89', 'a107', 'a114', 'a129', 'a125', 'a128', 'a147']
['a247', 'a243', 'a240', 'a242', 'a246', 'a248', 'a241', 'a249', 'a156', 'a154']
['a236', 'a164', 'a166', 'a174', 'a177', 'a186', 'a199', 'a195', 'a212', 'a228']
