['188', '100', '232', '249', '237', '101', '190', '215', '339', '46', '154', '381', '304', '310', '386', '56']
['358', '361', '173', '10', '222', '179', '376', '136', '372', '129', '289', '59', '285', '191', '391', '172']
['216', '362', '135', '265', '359', '180', '223', '266', '130', '390', '187', '52', '153', '175', '84', '123']
['171', '7', '337', '327', '392', '259', '349', '71', '288', '261', '299', '213', '389', '185', '67', '217']
['277', '382', '394', '245', '20', '45', '25', '120', '108', '192', '199', '155', '200', '385', '28', '96']
['87', '178', '253', '238', '31', '54', '399', '283', '204', '4', '206', '81', '360', '107', '230', '226']
['152', '79', '41', '48', '317', '252', '366', '78', '110', '117', '235', '241', '240', '69', '302', '357']
['312', '50', '151', '294', '393', '300', '88', '335', '303', '351', '326', '282', '65', '1', '29', '98']
['319', '342', '139', '36', '161', '159', '281', '318', '23', '354', '164', '195', '137', '126', '209', '145']
['122', '218', '205', '398', '375', '264', '177', '26', '116', '196', '207', '250', '105', '94', '383', '162']
['115', '68', '254', '242', '44', '296', '14', '343', '256', '64', '239', '231', '61', '165', '15', '293']
['258', '201', '328', '202', '27', '307', '148', '227', '279', '332', '75', '246', '286', '377', '99', '118']
['76', '274', '43', '321', '198', '146', '341', '30', '208', '280', '384', '371', '380', '309', '184', '247']
['234', '33', '365', '229', '236', '278', '17', '82', '297', '77', '338', '124', '104', '269', '373', '314']
['183', '66', '150', '220', '255', '211', '34', '58', '344', '138', '271', '166', '210', '102', '163', '301']
['35', '113', '63', '156', '92', '194', '32', '111', '270', '57', '347', '330', '396', '316', '388', '331']
['275', '400', '60', '324', '37', '49', '352', '106', '379', '141', '157', '348', '2', '62', '272', '325']
['244', '257', '387', '39', '90', '22', '284', '85', '182', '320', '228', '292', '121', '167', '8', '109']
['86', '9', '333', '225', '91', '114', '353', '345', '47', '203', '89', '127', '134', '42', '350', '51']
['378', '306', '233', '70', '336', '334', '12', '55', '142', '80', '176', '298', '24', '273', '3', '174']
['221', '212', '19', '168', '83', '149', '13', '368', '290', '291', '40', '128', '93', '397', '322', '260']
['364', '248', '133', '367', '308', '160', '197', '224', '189', '11', '6', '112', '131', '169', '315', '295']
['18', '267', '72', '374', '276', '214', '263', '193', '329', '340', '355', '305', '74', '140', '356', '243']
['262', '369', '323', '16', '287', '181', '73', '363', '144', '5', '38', '125', '53', '370', '158', '147']
['251', '395', '186', '143', '219', '119', '132', '103', '97', '346', '268', '311', '21', '95', '170', '313']
