['497', '146', '105']
['494', '3', '481']
['491', '211', '19']
['487', '40', '321']
['486', '135', '145']
['483', '64', '319']
['479', '299', '159']
['477', '110', '389']
['473', '278', '234']
['467', '465', '242']
['466', '290', '4']
['462', '300', '15']
['461', '452', '268']
['459', '12', '306']
['458', '307', '21']
['457', '262', '390']
['449', '230', '122']
['444', '25', '170']
['443', '27', '337']
['440', '193', '30']
['437', '415', '78']
['436', '191', '32']
['433', '391', '102']
['432', '171', '37']
['431', '86', '164']
['430', '47', '106']
['424', '50', '496']
['410', '420', '58']
['409', '314', '213']
['402', '422', '194']
['398', '260', '349']
['393', '109', '138']
['387', '62', '320']
['386', '404', '472']
['381', '239', '66']
['379', '255', '231']
['377', '476', '84']
['376', '399', '247']
['375', '87', '210']
['371', '88', '363']
['369', '182', '100']
['368', '385', '212']
['366', '206', '220']
['358', '324', '108']
['357', '388', '139']
['356', '233', '218']
['353', '392', '116']
['346', '325', '256']
['345', '117', '123']
['344', '143', '200']
['342', '128', '318']
['341', '285', '354']
['340', '152', '438']
['338', '265', '304']
['336', '286', '373']
['335', '281', '310']
['333', '222', '488']
['332', '271', '288']
['331', '350', '298']
['329', '397', '5']
['328', '162', '471']
['327', '6', '228']
['326', '442', '48']
['323', '7', '131']
['322', '254', '429']
['317', '79', '13']
['315', '253', '406']
['312', '316', '14']
['309', '31', '129']
['305', '460', '174']
['302', '18', '185']
['301', '403', '113']
['296', '20', '448']
['295', '34', '396']
['294', '22', '39']
['293', '95', '26']
['291', '33', '38']
['289', '370', '297']
['287', '454', '41']
['280', '44', '103']
['277', '77', '124']
['276', '65', '125']
['275', '158', '362']
['272', '282', '56']
['267', '216', '434']
['266', '80', '97']
['264', '83', '273']
['263', '199', '249']
['261', '426', '181']
['259', '311', '236']
['257', '114', '207']
['252', '147', '161']
['251', '127', '359']
['248', '292', '141']
['245', '367', '484']
['244', '468', '150']
['240', '196', '155']
['238', '339', '172']
['237', '330', '453']
['232', '355', '198']
['229', '411', '464']
['226', '394', '241']
['223', '250', '450']
['221', '419', '308']
['219', '401', '269']
['217', '0', '463']
['215', '1', '59']
['214', '10', '183']
['209', '23', '445']
['208', '28', '177']
['204', '29', '140']
['203', '35', '428']
['202', '36', '73']
['197', '42', '136']
['195', '43', '489']
['192', '51', '435']
['190', '71', '156']
['189', '76', '224']
['187', '85', '243']
['186', '89', '169']
['184', '91', '133']
['180', '94', '153']
['179', '98', '478']
['178', '107', '498']
['176', '126', '132']
['175', '134', '351']
['168', '160', '413']
['167', '165', '274']
['166', '173', '270']
['163', '205', '372']
['157', '225', '395']
['151', '227', '374']
['149', '235', '258']
['148', '246', '365']
['144', '279', '347']
['142', '283', '447']
['137', '284', '451']
['130', '303', '313']
['121']
['120']
['119']
['115']
['111']
['104']
['101']
['99']
['96']
['93']
['92']
['90']
['82']
['81']
['75']
['74']
['72']
['70']
['69']
['68']
['67']
['63']
['61']
['60']
['57']
['54']
['53']
['52']
['49']
['46']
['24']
['17']
['16']
['11']
['9']
['8']
['2']
['446', '495']
['441', '492', '343']
['490']
['439']
['427', '480', '188']
['475', '423']
['418', '485', '334']
['455', '417', '55']
['469', '416', '154']
['414', '456', '201']
['407', '425']
['421']
['405']
['400', '412', '45']
['408']
['383']
['384']
['382']
['499', '380', '112']
['470', '364']
['493', '361']
['360', '474']
['482']
['352']
['378', '348', '118']
