['306', '2', '31', '240', '119', '210', '144', '228', '168', '275', '219', '17', '24', '30', '138']
['305', '128', '225', '71', '32', '59', '142', '258', '276', '260', '268', '175', '41', '35', '191']
['304', '263', '185', '65', '192', '113', '226', '11', '127', '74', '96', '157', '236', '87', '215']
['303', '5', '69', '174', '94', '116', '78', '162', '171', '187', '4', '140', '255', '0', '43']
['302', '126', '23', '61', '105', '139', '254', '73', '265', '45', '117', '222', '62', '199', '12']
['301', '111', '131', '18', '183', '97', '149', '190', '211', '37', '103', '172', '118', '123', '132']
['300', '195', '20', '221', '198', '27', '194', '146', '244', '274', '223', '115', '21', '136', '282']
['299', '207', '186', '167', '81', '193', '153', '55', '248', '112', '235', '72', '14', '237', '98']
['298', '63', '108', '46', '229', '121', '95', '82', '166', '261', '64', '273', '91', '13', '245']
['297', '281', '164', '141', '57', '165', '212', '253', '83', '10', '200', '272', '233', '243', '50']
['296', '48', '160', '220', '152', '88', '159', '34', '161', '205', '257', '249', '213', '15', '89']
['295', '135', '19', '145', '25', '38', '155', '283', '92', '7', '99', '66', '234', '208', '202']
['294', '242', '184', '104', '84', '122', '277', '173', '60', '120', '86', '252', '93', '6', '246']
['293', '8', '181', '177', '218', '169', '44', '40', '241', '206', '182', '189', '217', '101', '125']
['292', '102', '49', '278', '53', '230', '56', '232', '259', '227', '247', '271', '51', '137', '154']
['291', '163', '52', '100', '9', '238', '280', '42', '110', '28', '196', '133', '176', '147', '188']
['290', '54', '124', '33', '197', '262', '201', '267', '16', '264', '231', '256', '77', '68', '114']
['289', '224', '130', '250', '85', '251', '239', '179', '36', '1', '90', '70', '80', '47', '209']
['288', '269', '29', '79', '106', '22', '143', '170', '284', '178', '266', '214', '150', '26', '270']
['287', '58', '203', '67', '75', '148', '39', '129', '134', '151', '216', '3', '180', '156', '109']
['286', '204', '107', '158', '76', '279']
['285']
