['298', '202', '176', '220', '120', '44', '216', '289', '265', '253']
['293', '267', '72', '217', '192', '28', '96', '163', '126', '279']
['276', '93', '181', '285', '294', '229', '128', '171', '252', '244']
['275', '172', '155', '243', '105', '33', '257', '173', '73', '134']
['274', '94', '242', '226', '205', '35', '102', '291', '30', '5']
['272', '215', '180', '20', '7', '24', '221', '8', '168', '190']
['271', '45', '3', '17', '140', '146', '110', '95', '29', '123']
['263', '121', '204', '262', '34', '47', '170', '78', '222', '248']
['260', '295', '108', '18', '13', '153', '10', '141', '51', '282']
['256', '116', '142', '150', '191', '219', '164', '159', '184', '135']
['255', '212', '174', '236', '178', '286', '288', '22', '207', '54']
['246', '68', '58', '206', '213', '268', '69', '208', '39', '197']
['239', '249', '218', '80', '158', '280', '259', '273', '89', '258']
['238', '75', '144', '214', '9', '292', '185', '42', '296', '2']
['232', '166', '228', '277', '11', '6', '104', '83', '224', '149']
['231', '124', '261', '240', '40', '46', '43', '25', '92', '56']
['230', '74', '297', '107', '60', '48', '233', '145', '99', '77']
['227', '1', '143', '139', '101', '111', '125', '117', '209', '14']
['211', '247', '133', '109', '19', '193', '138', '23', '237', '283']
['201', '114', '225', '187', '15', '175', '299', '50', '251', '241']
['198', '254', '300', '79', '199', '269', '21', '127', '26', '98']
['195', '122', '4', '234', '16', '137', '156', '84', '129', '27']
['179', '290', '37', '157', '167', '55', '183', '70', '148', '81']
['177', '200', '210', '103', '71', '31', '62', '223', '136', '160']
['169', '131', '161', '203', '76', '182', '266', '270', '245', '235']
['162', '284', '250', '49', '67', '264', '278', '188', '36', '88']
['154', '52', '113', '59', '86', '61', '65', '97', '118', '151']
['152', '186', '165', '196', '189', '287', '194', '281', '12', '32']
['147', '38', '41', '53', '57', '63', '64', '66', '82', '85']
['132', '87', '90', '91', '100', '106', '112', '115', '119', '130']
