['467', '343', '354', '9', '267', '276', '46', '265', '5', '201', '54', '68', '332', '155', '90', '483', '192', '244', '148', '24', '127', '112', '107']
['457', '197', '156', '266', '376', '220', '200', '136', '103', '162', '25', '442', '235', '415', '288', '64', '178', '240', '454', '31', '463', '251', '151']
['450', '440', '168', '350', '203', '106', '17', '331', '293', '384', '140', '29', '111', '476', '181', '37', '47', '221', '117', '60', '389', '59', '191']
['436', '411', '279', '139', '147', '213', '20', '125', '110', '433', '150', '257', '366', '425', '249', '95', '227', '394', '264', '315', '80', '174', '73']
['302', '35', '277', '291', '346', '379', '496', '85', '242', '263', '126', '396', '167', '180', '453', '409', '412', '211', '189', '310', '169', '97', '55']
['485', '400', '116', '423', '84', '143', '253', '69', '179', '494', '205', '39', '371', '94', '466', '419', '393', '113', '424', '132', '287', '404', '437']
['472', '93', '426', '341', '170', '193', '83', '135', '306', '171', '149', '322', '344', '255', '300', '479', '317', '388', '278', '432', '446', '451', '395']
['387', '243', '407', '173', '72', '491', '381', '337', '182', '469', '374', '349', '208', '261', '183', '299', '86', '443', '217', '228', '92', '27', '305']
['498', '123', '375', '475', '431', '56', '365', '109', '101', '497', '70', '312', '158', '416', '62', '301', '177', '166', '190', '382', '165', '270', '44']
['481', '383', '311', '154', '352', '290', '334', '224', '41', '377', '489', '10', '187', '488', '444', '225', '159', '234', '313', '115', '137', '99', '207']
['460', '390', '392', '458', '269', '357', '82', '247', '298', '0', '33', '330', '359', '198', '401', '286', '380', '477', '88', '328', '439', '326', '447']
['448', '130', '289', '438', '345', '303', '144', '36', '304', '418', '236', '128', '1', '11', '81', '275', '348', '464', '216', '414', '12', '329', '184']
['434', '413', '248', '145', '402', '316', '65', '50', '223', '378', '484', '138', '470', '319', '333', '74', '314', '118', '153', '209', '480', '252', '370']
['420', '486', '222', '280', '218', '272', '108', '52', '321', '134', '360', '32', '124', '204', '49', '318', '490', '34', '495', '449', '142', '386', '226']
['408', '452', '48', '15', '104', '406', '274', '283', '63', '373', '238', '356', '175', '30', '256', '493', '3', '297', '385', '429', '100', '473', '391']
['405', '427', '75', '119', '53', '455', '229', '295', '361', '273', '185', '163', '339', '471', '323', '428', '465', '51', '160', '445', '335', '232', '152']
['403', '91', '245', '254', '131', '259', '58', '307', '239', '186', '164', '492', '399', '417', '363', '206', '40', '338', '294', '435', '355', '21', '250']
['397', '441', '67', '459', '353', '309', '89', '260', '347', '461', '7', '18', '45', '351', '362', '71', '214', '456', '79', '195', '42', '258', '61']
['368', '462', '342', '146', '325', '233', '398', '120', '199', '372', '241', '246', '202', '96', '282', '237', '38', '271', '499', '176', '358', '268', '114']
['285', '231', '324', '487', '77', '78', '26', '421', '161', '340', '2', '292', '212', '129', '284', '327', '98', '230', '210', '219', '468', '13', '215']
['133', '16', '482', '478', '105', '281', '194', '57', '410', '23', '141', '6', '157', '262', '196', '296', '19', '14', '336', '28', '308', '66', '87']
['422', '22', '8', '43', '102', '121', '364', '367', '430', '474', '4', '320', '188', '122', '369', '172', '76']
