['288', '121', '399', '175', '424']
['379', '217', '442', '406', '376']
['368', '21', '188', '13', '213']
['328', '360', '147', '57', '168']
['93', '173', '183', '365', '148']
['336', '436', '467', '393', '165']
['156', '20', '255', '324', '482']
['197', '211', '472', '286', '193']
['239', '7', '78', '108', '405']
['70', '114', '61', '137', '116']
['90', '310', '223', '237', '382']
['128', '381', '276', '187', '129']
['287', '388', '119', '106', '396']
['34', '378', '494', '174', '65']
['71', '244', '389', '226', '247']
['231', '207', '266', '158', '245']
['394', '421', '133', '386', '488']
['30', '26', '24', '371', '356']
['390', '479', '309', '96', '6']
['176', '232', '496', '258', '499']
['450', '55', '434', '202', '35']
['25', '299', '425', '153', '139']
['159', '458', '464', '166', '150']
['230', '481', '373', '362', '172']
['16', '461', '74', '228', '429']
['99', '154', '296', '77', '205']
['3', '45', '448', '49', '243']
['445', '122', '347', '8', '47']
['480', '233', '387', '326', '18']
['466', '404', '246', '10', '161']
['51', '221', '490', '54', '460']
['457', '417', '138', '53', '403']
['267', '155', '462', '92', '85']
['497', '363', '493', '196', '109']
['12', '408', '383', '190', '489']
['241', '204', '331', '33', '437']
['225', '199', '89', '491', '220']
['375', '283', '343', '319', '44']
['312', '281', '91', '317', '369']
['426', '401', '210', '412', '84']
['294', '447', '335', '81', '214']
['101', '395', '346', '191', '76']
['456', '86', '206', '268', '414']
['384', '123', '4', '469', '428']
['273', '126', '261', '410', '145']
['177', '459', '349', '345', '229']
['184', '182', '107', '451', '195']
['302', '32', '320', '95', '413']
['127', '277', '298', '330', '22']
['285', '431', '478', '304', '443']
['222', '257', '465', '28', '236']
['69', '352', '103', '242', '444']
['402', '83', '407', '167', '329']
['416', '471', '342', '293', '36']
['260', '476', '374', '323', '208']
['289', '164', '144', '152', '498']
['125', '477', '486', '392', '98']
['316', '40', '102', '59', '385']
['415', '94', '100', '263', '485']
['411', '449', '43', '418', '2']
['433', '62', '427', '48', '209']
['305', '265', '297', '238', '272']
['186', '367', '60', '0', '227']
['278', '322', '338', '334', '58']
['149', '88', '5', '439', '452']
['440', '234', '361', '351', '192']
['391', '27', '340', '470', '115']
['269', '29', '295', '66', '435']
['256', '120', '311', '420', '19']
['9', '135', '279', '253', '333']
['194', '341', '370', '419', '438']
['250', '39', '492', '67', '80']
['42', '259', '157', '313', '455']
['180', '468', '201', '72', '134']
['142', '110', '306', '112', '400']
['284', '358', '185', '290', '291']
['262', '354', '140', '308', '118']
['15', '181', '292', '332', '422']
['162', '212', '216', '397', '327']
['235', '23', '82', '248', '252']
['219', '218', '315', '141', '249']
['68', '357', '348', '64', '14']
['111', '337', '473', '73', '198']
['355', '350', '63', '31', '318']
['11', '46', '215', '377', '430']
['200', '170', '136', '189', '364']
['1', '117', '446', '454', '270']
['303', '105', '132', '240', '17']
['359', '254', '87', '130', '475']
['178', '344', '113', '453', '463']
['301', '131', '372', '380', '264']
['487', '474', '37', '171', '143']
['339', '300', '203', '75', '160']
['274', '495', '321', '169', '104']
['224', '163', '38', '56', '146']
['151', '484', '353', '314', '52']
['275', '282', '483', '179', '307']
['97', '79', '325', '423', '50']
['124', '280', '441', '41', '432']
['271', '251', '366', '398', '409']
