['498', '168', '472', '434', '88', '431', '448', '131', '251', '414', '391', '364', '9', '313', '231', '470', '303']
['459', '254', '481', '456', '380', '245', '63', '87', '365', '224', '223', '384', '471', '494', '284', '195', '140']
['428', '234', '307', '13', '372', '315', '265', '190', '238', '44', '179', '138', '417', '269', '433', '188', '186']
['420', '235', '69', '306', '158', '334', '206', '378', '25', '198', '120', '430', '271', '147', '362', '468', '450']
['415', '400', '416', '241', '348', '228', '385', '136', '218', '43', '264', '39', '225', '27', '438', '304', '216']
['413', '64', '419', '424', '94', '418', '479', '203', '148', '478', '54', '474', '122', '454', '166', '341', '392']
['410', '183', '177', '117', '473', '22', '221', '262', '463', '289', '422', '58', '50', '115', '116', '167', '153']
['406', '296', '366', '175', '237', '52', '84', '205', '20', '78', '37', '356', '214', '96', '443', '159', '137']
['394', '70', '368', '425', '461', '199', '6', '343', '305', '107', '114', '267', '247', '194', '86', '484', '285']
['390', '270', '316', '331', '193', '170', '317', '8', '156', '164', '322', '318', '12', '320', '277', '444', '106']
['389', '346', '108', '355', '309', '280', '169', '243', '72', '130', '327', '210', '215', '404', '442', '286', '495']
['388', '483', '255', '42', '53', '261', '82', '302', '282', '244', '336', '462', '73', '19', '437', '402', '236']
['376', '65', '374', '35', '335', '423', '325', '263', '407', '227', '100', '469', '475', '357', '125', '465', '149']
['373', '49', '301', '23', '102', '386', '298', '371', '328', '490', '162', '421', '38', '451', '51', '299', '487']
['363', '118', '7', '124', '119', '319', '427', '85', '55', '485', '161', '281', '17', '460', '26', '202', '105']
['342', '222', '4', '28', '46', '151', '76', '387', '338', '345', '398', '360', '66', '109', '67', '252', '111']
['339', '272', '128', '432', '47', '185', '351', '171', '312', '217', '464', '209', '45', '489', '411', '409', '381']
['300', '393', '2', '112', '408', '480', '295', '440', '97', '383', '340', '337', '499', '445', '329', '152', '333']
['293', '103', '30', '310', '24', '354', '297', '60', '200', '379', '16', '458', '382', '350', '80', '291', '83']
['287', '192', '239', '165', '187', '369', '377', '496', '178', '144', '197', '429', '447', '146', '56', '395', '176']
['279', '143', '1', '488', '81', '314', '75', '104', '353', '226', '233', '213', '172', '326', '344', '129', '134']
['273', '145', '323', '453', '292', '493', '89', '486', '467', '181', '492', '455', '59', '311', '436', '268', '256']
['260', '182', '457', '155', '61', '220', '347', '308', '477', '375', '229', '207', '174', '157', '77', '266', '491']
['250', '150', '403', '33', '62', '283', '358', '48', '446', '466', '349', '135', '412', '275', '98', '211', '476']
['248', '288', '276', '426', '184', '294', '324', '330', '257', '452', '249', '14', '449', '99', '258', '278', '435']
['246', '40', '332', '34', '370', '126', '259', '173', '189', '57', '230', '352', '3', '93', '31', '321', '29']
['242', '15', '79', '497', '127', '180', '201', '142', '160', '290', '90', '36', '68', '401', '253', '359', '396']
['240', '399', '91', '232', '5', '482', '196', '132', '439', '123', '397', '361', '405', '441', '10', '274', '141']
['219', '204', '212', '32', '367', '0', '11', '18', '21', '41', '71', '74', '92', '95', '101', '110', '113']
['208', '121', '133', '139', '154']
['191']
['163']
