['481', '0', '7', '145', '1', '128', '4']
['480', '142', '49', '144', '131', '15', '127']
['478', '138', '130', '153', '143', '154', '133']
['477', '125', '151', '137', '141', '44', '45']
['476', '124', '150', '46', '43', '8', '9']
['473', '134', '50', '135', '126', '147', '146']
['470', '123', '129', '47', '140', '42', '139']
['468', '48', '162', '182', '179', '65', '167']
['466', '155', '181', '63', '161', '164', '174']
['460', '178', '177', '168', '11', '160', '183']
['455', '69', '26', '156', '166', '62', '58']
['454', '60', '180', '185', '171', '175', '159']
['453', '173', '170', '176', '157', '209', '197']
['452', '203', '212', '202', '199', '198', '189']
['451', '81', '190', '84', '194', '30', '79']
['448', '214', '83', '200', '77', '205', '188']
['444', '208', '213', '211', '204', '192', '82']
['439', '186', '74', '196', '187', '201', '33']
['437', '32', '75', '76', '210', '206', '73']
['436', '440', '445', '382', '401', '398', '442']
['435', '379', '424', '396', '400', '441', '380']
['434', '371', '449', '447', '450', '443', '87']
['428', '222', '227', '88', '223', '218', '225']
['423', '366', '373', '370', '224', '221', '89']
['415', '217', '216', '226', '92', '229', '37']
['414', '237', '236', '234', '235', '238', '39']
['412', '98', '93', '233', '242', '97', '243']
['409', '368', '397', '399', '389', '376', '367']
['408', '230', '252', '250', '255', '244', '249']
['365', '257', '256', '104', '253', '41', '100']
['364', '99', '251', '384', '385', '422', '372']
['363', '40', '248', '103', '374', '388', '410']
['362', '418', '417', '420', '387', '383', '411']
['361', '386', '413', '419', '421', '429', '393']
['359', '38', '432', '430', '392', '394', '377']
['358', '378', '427', '391', '395', '431', '305']
['354', '36', '220', '91', '228', '303', '301']
['353', '120', '119', '300', '304', '302', '403']
['352', '86', '215', '35', '458', '402', '456']
['350', '34', '85', '13', '94', '231', '239']
['345', '31', '195', '446', '247', '102', '461']
['344', '333', '404', '464', '459', '405', '463']
['343', '96', '241', '462', '469', '465', '342']
['341', '29', '169', '72', '12', '5', '64']
['340', '467', '407', '406', '263', '261', '260']
['339', '105', '258', '259', '262', '267', '265']
['338', '71', '184', '28', '269', '108', '266']
['337', '27', '70', '268', '109', '272', '271']
['336', '110', '270', '275', '274', '273', '277']
['335', '106', '278', '112', '281', '279', '284']
['332', '25', '68', '165', '101', '254', '246']
['331', '24', '67', '219', '90', '438', '457']
['330', '282', '287', '283', '113', '114', '285']
['329', '23', '66', '163', '193', '80', '433']
['328', '286', '290', '292', '289', '288', '115']
['327', '111', '280', '293', '291', '116', '296']
['326', '57', '22', '276', '118', '299', '294']
['325', '21', '56', '416', '369', '381', '390']
['324', '298', '297', '117', '295', '309', '307']
['323', '20', '136', '55', '152', '107', '264']
['322', '310', '121', '306', '308', '122', '349']
['321', '19', '54', '6', '158', '61', '425']
['320', '348', '474', '479', '482', '483', '484']
['319', '95', '240', '426', '486', '485', '355']
['318', '53', '18', '232', '488', '487', '313']
['317', '17', '52', '149', '3', '59', '172']
['316', '312', '334', '347', '346', '351', '356']
['315', '16', '132', '51', '148', '2', '10']
['314', '357', '360', '471', '472', '475']
['311', '14', '78', '207', '191', '245', '375']
