['22', '229', '119', '205']
['158', '212', '169', '135']
['27', '21', '163', '26']
['16', '61', '165', '67']
['241', '9', '240', '143']
['199', '8', '157', '161']
['104', '125', '79', '107']
['103', '211', '236', '63']
['54', '38', '49', '130']
['222', '71', '171', '72']
['6', '18', '95', '210']
['228', '62', '11', '51']
['185', '190', '86', '201']
['81', '121', '214', '78']
['231', '57', '176', '226']
['127', '168', '215', '108']
['100', '55', '174', '232']
['91', '88', '218', '105']
['44', '1', '96', '52']
['32', '197', '141', '132']
['225', '50', '19', '224']
['173', '65', '217', '40']
['59', '97', '64', '151']
['35', '187', '84', '46']
['202', '175', '238', '164']
['146', '200', '30', '45']
['140', '23', '142', '182']
['89', '20', '219', '68']
['77', '180', '42', '220']
['37', '247', '156', '106']
['244', '56', '34', '98']
['183', '213', '186', '15']
['162', '7', '191', '167']
['117', '36', '87', '102']
['115', '178', '246', '116']
['83', '14', '223', '155']
['43', '152', '184', '69']
['203', '66', '243', '237']
['136', '239', '245', '147']
['101', '39', '114', '24']
['85', '148', '166', '80']
['58', '123', '31', '153']
['28', '242', '47', '73']
['10', '33', '139', '248']
['234', '25', '198', '53']
['204', '207', '3', '94']
['189', '216', '13', '4']
['131', '76', '177', '133']
['124', '75', '194', '145']
['118', '172', '159', '60']
['110', '233', '193', '150']
['90', '41', '2', '120']
['17', '134', '206', '113']
['235', '181', '70', '29']
['230', '144', '170', '112']
['221', '74', '227', '128']
['208', '99', '195', '137']
['196', '92', '149', '154']
['192', '82', '249', '122']
['188', '5', '138', '0']
['129', '111', '160', '126']
['109', '12']
['93', '48', '179', '209']
