['v7', 'c2', 'p6', 'q7', 'k6', 'w1', 'q1', 'p1', 'v1', 'c4']
['w7', 'w10', 'e9', 'g6', 'c8', 'w4', 'c1', 'p4', 'w8', 'n5']
['p2', 's3', 'x2', 's5', 'a3', 'p8', 'f3', 'b5', 'y3', 'u4']
['k3', 'h6', 'a4', 'a8', 'd6', 'r8', 'c10', 'o7', 'p10', 'b10']
['c3', 'r7', 'c7', 'j2', 'j5', 't6', 'u6', 'x8', 'j3', 'q9']
['x1', 'y6', 'h4', 'y8', 's7', 'f9', 'k4', 'f2', 's9', 'q6']
['l6', 'q4', 'r9', 'u5', 'h8', 'q8', 'n1', 'r5', 'e10', 'l4']
['i9', 'e3', 'v9', 'u2', 's1', 'd10', 'u1', 'm1', 'b7', 'a6']
['b9', 'j9', 'b1', 'w5', 'p9', 'h1', 'o4', 'o2', 'p5', 'd5']
['k10', 'n4', 'u9', 'q5', 'l8', 'f10', 'b2', 'm2', 'o6', 't7']
['e7', 'n2', 'e6', 'b8', 'k9', 'm3', 'p7', 'm8', 'd9', 'd1']
['w2', 'l5', 'm7', 'o1', 'u3', 'n6', 'e8', 't5', 'v10', 't2']
['s6', 'x10', 'y1', 'v8', 'g10', 'u8', 'y2', 'i5', 'm10', 'd3']
['h3', 'g3', 'g5', 't3', 'q3', 'b4', 'o5', 'b6', 'r10', 'k7']
['q10', 'q2', 'a2', 'i8', 'a9', 't9', 'd4', 'm5', 'a7', 'k1']
['l9', 'y7', 'k5', 'l10', 'j6', 'r4', 'j4', 'x5', 's2', 'x6']
['f4', 'f7', 'i6', 'g4', 'j8', 'b3', 'f8', 'v4', 'c5', 'y10']
['c9', 'h10', 'l1', 'n9', 'l3', 'g8', 'x4', 'd7', 'd2', 'a1']
['e2', 't8', 'o10', 'v5', 'i4', 'x7', 'h2', 'w6', 'a5', 'r1']
['e1', 'i10', 'k8', 'a10', 'n3', 'j10', 'y4', 's4', 'd8', 'l7']
['g9', 'h5', 'u10', 'i2', 'n8', 'm9', 'o9', 'n7', 'f1', 'm4']
['c6', 'e5', 'i1', 'r2', 's10', 's8', 'h7', 'm6', 'w9', 'n10']
['x9', 'o3', 'v3', 'g1', 'h9', 't4', 'y9', 'l2', 'u7', 'y5']
['f6', 't1', 'g2', 'r3', 'r6', 'g7', 'v6', 'v2', 'j7', 'o8']
['f5', 'p3', 'x3', 'i7', 'e4', 'w3', 'j1', 't10', 'i3', 'k2']
