['BEIFF', 'KUMCW', 'RQZPM', 'TFWCC', 'NKCOJ']
['GBGAG', 'QBZQQ', 'LCHJI', 'PSZDK', 'QBVUY']
['TFEWH', 'WAQDW', 'OZZTI', 'KXMSB', 'XXRUC']
['MESKQ', 'ORRXP', 'AHMRO', 'JTHWI', 'YQSUZ']
['ZLQYF', 'MEKWP', 'TFGVT', 'CKFJL', 'UBCVC']
['CIBMR', 'TYMOI', 'PQDFC', 'MRXML', 'VNVFZ']
['RJDRX', 'PABIC', 'BTWAZ', 'KENPF', 'HAXVF']
['SRUUN', 'VSPLU', 'XBTFE', 'XUHAP', 'HTJHJ']
['IRNCA', 'OENWP', 'ZJNIT', 'ZIJNW', 'WJIWZ']
['SRFIJ', 'GICKM', 'VXLZU', 'XIDUV', 'YORBA']
['LNIAF', 'HNKDE', 'SMSHQ', 'OVYUV', 'BBKUO']
['HKVZW', 'VTOZN', 'YNIQG', 'EGIIY', 'RDCTS']
['UHYVL', 'CLLNQ', 'CIUZU', 'ZRVWH', 'XCTJB']
['XAOMD', 'QIZOX', 'LIGPC', 'VLQCW', 'ZPTPS']
['DCJPL', 'UFVEC', 'UJESQ', 'YFRIJ', 'UGKUC']
['QSYML', 'JWSRE', 'NDLFM', 'ZUTJZ', 'SAVNS']
['KQUJH', 'WWYEF', 'IGQNP', 'DKSJV', 'BWWYB']
['WUCQA', 'KHNJL', 'INTFC', 'XUYPR', 'DVLFX']
['RUGKU', 'FZQXE', 'PKHDM', 'HXXMK', 'PTRTD']
['ERQBP', 'FXFUX', 'BNJLP', 'WUTXG', 'QNUDR']
['QQXNO', 'RMJIF', 'WNYYG', 'LYGHF', 'QGRPC']
['TUSMK', 'KXUES', 'UGVLA', 'TBZDI', 'SHLYA']
['SYIZZ', 'VBRPO', 'MIKDS', 'YXPNV', 'WAHPX']
['IXMQO', 'XFNKQ', 'SJJMM', 'ZJQQO', 'KGIPC']
['KEMJT', 'OUQMM', 'BBVXC', 'HATBR', 'IAADS']
['AWUBI', 'ENWEP', 'HSIWG', 'VLEXY', 'CBNUD']
['WCFRY', 'VYDDY', 'ARMIC', 'RCZHM', 'QYLAH']
['TBPZM', 'SROSJ', 'IZZTZ', 'ZCVZT', 'YBAFX']
['AXQPJ', 'KDZKT', 'XWMKT', 'TLZCG', 'ZYPEK']
['NSTKH', 'VXIFI', 'UJHDY', 'ONQWA', 'YWCZV']
['GWJWE', 'OKQTW', 'ACMPF', 'DLKKW', 'SIGOM']
['VATKD', 'CQBIT', 'QCHPG', 'GZQDO', 'UCLPW']
['EFKRH', 'BGOJW', 'VPSEI', 'FJPVZ', 'HGJEC']
['XBLXM', 'SZXFW', 'WJAIQ', 'HFDOF', 'CBJEL']
['EWNSH', 'OXRDD', 'DKHZJ', 'YJCIZ', 'FCWUA']
