['147', '100', '399', '307', '361', '242', '244', '35', '22', '288', '156', '394', '383', '175', '384', '98', '115', '274', '368', '275', '234']
['325', '386', '393', '219', '38', '231', '196', '223', '110', '378', '37', '345', '32', '372', '360', '364', '1', '185', '121', '130', '322']
['195', '240', '381', '296', '189', '218', '289', '259', '278', '29', '293', '127', '390', '338', '270', '78', '281', '43', '387', '229', '230']
['138', '55', '213', '343', '356', '207', '315', '346', '216', '159', '197', '389', '374', '45', '125', '64', '15', '308', '101', '69', '180']
['154', '369', '192', '354', '72', '47', '71', '209', '253', '76', '44', '36', '188', '143', '251', '324', '163', '221', '89', '63', '204']
['85', '285', '103', '62', '206', '236', '66', '93', '41', '373', '371', '59', '151', '33', '190', '118', '347', '150', '261', '319', '116']
['367', '203', '144', '254', '178', '120', '108', '238', '84', '202', '376', '174', '252', '268', '187', '362', '21', '241', '146', '52', '106']
['243', '191', '370', '164', '335', '284', '129', '382', '166', '193', '65', '68', '119', '232', '205', '39', '75', '95', '13', '114', '23']
['94', '331', '391', '225', '298', '97', '200', '395', '321', '239', '310', '222', '67', '3', '105', '260', '54', '183', '212', '42', '339']
['392', '210', '184', '57', '142', '208', '316', '198', '96', '158', '165', '396', '341', '283', '145', '181', '28', '182', '388', '157', '294']
['246', '5', '17', '199', '306', '235', '171', '107', '92', '83', '26', '327', '357', '247', '140', '380', '245', '300', '122', '272', '80']
['74', '336', '290', '34', '309', '48', '14', '276', '201', '379', '228', '279', '25', '117', '227', '128', '77', '132', '167', '366', '30']
['314', '46', '257', '20', '149', '269', '249', '233', '104', '334', '173', '148', '277', '352', '137', '377', '19', '136', '263', '70', '160']
['351', '50', '365', '79', '8', '264', '332', '124', '291', '73', '220', '81', '286', '355', '359', '340', '398', '27', '186', '224', '295']
['139', '134', '287', '56', '271', '102', '18', '215', '87', '24', '217', '172', '177', '113', '267', '169', '330', '91', '179', '250', '6']
['58', '248', '16', '397', '161', '304', '170', '262', '255', '155', '266', '12', '302', '40', '344', '301', '131', '135', '211', '86', '329']
['313', '99', '358', '353', '51', '153', '53', '292', '323', '214', '348', '400', '61', '328', '305', '162', '60', '133', '109', '194', '303']
['258', '311', '2', '282', '141', '318', '168', '337', '90', '280', '375', '363', '326', '112', '126', '152', '7', '4', '297', '237']
['88', '176', '31', '256', '11', '9', '320', '350', '226', '273', '299', '123', '312', '111', '349', '317', '333', '265', '342', '385', '49']
['10', '82']
