['342', '117', '10', '367', '286', '453', '494', '192', '95', '181', '142', '435', '333', '351', '441', '495', '392', '287', '53', '464', '101', '440', '479', '385', '358', '436', '375', '410', '499', '182', '497', '339', '496', '415', '468', '334', '374', '372', '94', '485', '205', '179', '233', '493', '151']
['273', '426', '27', '424', '35', '422', '76', '321', '230', '346', '433', '171', '462', '418', '312', '332', '56', '25', '466', '371', '137', '486', '400', '326', '337', '173', '442', '23', '428', '185', '306', '180', '341', '174', '2', '327', '190', '431', '84', '380', '126', '267', '257', '290', '276']
['0', '197', '454', '343', '277', '119', '279', '51', '75', '404', '111', '425', '482', '370', '39', '158', '74', '315', '444', '409', '160', '150', '389', '359', '407', '369', '44', '97', '325', '281', '144', '278', '57', '357', '363', '64', '73', '318', '275', '472', '244', '361', '487', '490', '396']
['438', '145', '217', '55', '296', '66', '247', '40', '63', '225', '167', '365', '170', '355', '331', '29', '305', '146', '82', '437', '46', '288', '483', '447', '362', '157', '196', '243', '373', '432', '274', '285', '353', '131', '379', '458', '460', '226', '387', '186', '14', '323', '307', '329', '449']
['28', '395', '394', '352', '60', '204', '446', '354', '213', '419', '198', '474', '316', '489', '20', '123', '360', '269', '289', '459', '463', '478', '366', '393', '344', '330', '109', '384', '469', '434', '81', '405', '335', '124', '106', '338', '1', '304', '12', '71', '169', '450', '21', '467', '232']
['452', '127', '139', '317', '451', '398', '105', '470', '461', '102', '413', '376', '208', '36', '183', '408', '107', '189', '391', '310', '484', '340', '86', '108', '386', '22', '219', '471', '414', '215', '227', '98', '297', '231', '262', '420', '78', '177', '99', '128', '155', '427', '176', '314', '125']
['246', '59', '328', '439', '378', '402', '153', '299', '445', '345', '322', '239', '259', '112', '194', '455', '161', '58', '220', '42', '129', '248', '67', '17', '16', '168', '11', '283', '271', '141', '201', '311', '324', '221', '96', '272', '195', '114', '37', '138', '423', '251', '265', '70', '72']
['480', '224', '91', '256', '209', '254', '260', '383', '240', '85', '31', '236', '300', '143', '87', '263', '120', '203', '41', '199', '92', '32', '264', '103', '241', '348', '24', '193', '228', '83', '206', '411', '242', '45', '165', '308', '54', '38', '255', '136', '234', '43', '200', '140', '280']
['477', '130', '88', '235', '284', '223', '113', '115', '187', '191', '319', '237', '30', '218', '132', '163', '443', '491', '457', '26', '166', '184', '429', '313', '382', '421', '292', '15', '62', '270', '245', '252', '77', '8', '4', '456', '250', '397', '52', '9', '49', '68', '61', '350', '294']
['475', '100', '416', '401', '47', '302', '135', '69', '121', '282', '214', '18', '364', '356', '266', '93', '90', '80', '48', '473', '403', '118', '229', '216', '116', '476', '164', '481', '175', '156', '320', '488', '381', '498', '417', '448', '202', '149', '368', '159', '406', '133', '238', '65', '309']
['291', '390', '465', '412', '210', '347', '122', '104', '162', '152', '148', '377', '222', '5', '50', '172', '303', '110', '34', '298', '6', '207', '301', '33', '19', '336', '3', '147', '268', '178', '134', '13', '7', '258', '430', '188', '295', '79', '399', '212', '211', '249', '253', '154', '388']
['261', '293', '349', '492', '89']
