['361', '358', '215', '60', '48', '238', '335', '7', '272', '256', '323', '51', '44', '82', '37', '211', '108', '275', '326', '234', '11', '46', '109', '314', '306', '345', '347', '127', '316', '227']
['340', '53', '291', '286', '146', '148', '346', '112', '158', '110', '9', '292', '254', '86', '289', '154', '142', '331', '309', '343', '327', '6', '295', '252', '179', '132', '174', '350', '196', '192']
['69', '89', '137', '269', '191', '246', '25', '287', '22', '371', '232', '352', '94', '83', '213', '276', '318', '293', '116', '130', '183', '264', '204', '117', '32', '165', '189', '330', '45', '175']
['56', '313', '71', '138', '373', '205', '315', '288', '261', '324', '172', '85', '26', '353', '17', '216', '184', '308', '133', '31', '270', '120', '156', '62', '90', '67', '29', '167', '201', '194']
['233', '301', '239', '79', '208', '222', '260', '355', '237', '18', '244', '344', '220', '21', '281', '199', '359', '78', '5', '151', '296', '257', '322', '180', '64', '66', '258', '360', '282', '357']
['114', '351', '166', '263', '159', '328', '134', '336', '278', '367', '93', '186', '36', '207', '63', '124', '152', '245', '119', '212', '72', '100', '217', '55', '96', '193', '27', '131', '58', '279']
['319', '228', '157', '140', '103', '162', '374', '321', '185', '28', '101', '161', '122', '266', '35', '294', '274', '363', '135', '129', '202', '147', '221', '143', '34', '121', '354', '65', '113', '218']
['20', '105', '368', '168', '54', '229', '170', '136', '125', '2', '377', '115', '248', '302', '376', '247', '348', '372', '123', '277', '19', '249', '141', '173', '57', '310', '240', '128', '337', '297']
['24', '61', '285', '300', '40', '42', '118', '150', '33', '304', '52', '362', '164', '342', '298', '226', '339', '195', '39', '47', '145', '1', '181', '223', '77', '242', '253', '235', '88', '224']
['243', '338', '41', '81', '231', '219', '325', '176', '307', '190', '74', '104', '320', '365', '169', '3', '251', '43', '332', '68', '209', '203', '106', '370', '299', '73', '364', '171', '13', '250']
['366', '303', '153', '92', '144', '95', '178', '198', '375', '255', '14', '15', '271', '126', '268', '341', '356', '182', '4', '84', '23', '197', '230', '50', '262', '38', '334', '305', '98', '30']
['369', '80', '188', '76', '329', '312', '225', '87', '111', '177', '12', '187', '210', '16', '49', '75', '155', '200', '8', '59', '160', '259', '317', '10', '163', '139', '206', '311', '236', '280']
['267', '214', '333', '102', '91', '149', '97', '283', '273', '99', '290', '107', '284', '241', '265', '349', '70']
